Plot Title: 9735547_SM_LM_B1_ctrl,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012371, LBL: LM_B1R)","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012373, LBL: LM_B1L)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700884, LBL: LM_B1L)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700885, LBL: LM_B1L)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9711280, LBL: LM_B1R)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9719166, LBL: LM_B1)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9721330, LBL: LM_B1)","RH, % (LGR S/N: 9735547, SEN S/N: 9721330, LBL: LM_B1)","Voltage, V (LGR S/N: 9735547, SEN S/N: 9725497)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734394, LBL: LM_B1L)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734405, LBL: LM_B1L)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734418, LBL: LM_B1R)","Batt, V (LGR S/N: 9735547)"
Site,Treatment,Date.Time,SWC.right,SWC.left,PAR.up,PAR.left,PAR.right,ST.between,Air.T,RH,,SR.up,SR.left,SR.right,
LM,control,7/15/2019 11:10,-0.0309,0.1042,1873.7,63.7,53.7,67.158,79.788,40,-0.1835,954.4,91.9,88.1,4.393
LM,control,7/15/2019 11:20,-0.0309,0.1049,1923.7,63.7,53.7,67.842,78.471,37.6,-0.1835,985.6,93.1,88.1,4.442
LM,control,7/15/2019 11:30,-0.0309,0.1049,1958.7,66.2,53.7,68.527,78.777,37.6,-0.1835,1005.6,94.4,89.4,4.4
LM,control,7/15/2019 11:40,-0.0309,0.1049,1991.2,66.2,56.2,69.17,80.845,35.6,-0.1835,1026.9,95.6,89.4,4.393
LM,control,7/15/2019 11:50,-0.0302,0.1056,2191.2,71.2,61.2,69.858,80.978,35.9,-0.1835,1139.4,104.4,98.1,4.393
LM,control,7/15/2019 12:00,-0.0302,0.1056,2091.2,68.7,58.7,70.543,81.111,34.9,-0.1835,1079.4,99.4,91.9,4.418
LM,control,7/15/2019 12:10,-0.0302,0.1063,2156.2,68.7,58.7,71.19,81.554,35.9,-0.1835,1106.9,100.6,94.4,4.4
LM,control,7/15/2019 12:20,-0.0302,0.1063,2236.2,71.2,61.2,71.877,83.467,34.9,-0.1835,1149.4,106.9,99.4,4.393
LM,control,7/15/2019 12:30,-0.0295,0.1063,666.2,18.7,18.7,72.523,81.642,35.4,-0.1835,325.6,31.9,31.9,4.393
LM,control,7/15/2019 12:40,-0.0302,0.1071,2233.7,71.2,61.2,72.955,80.668,38,-0.1835,1138.1,104.4,96.9,4.406
LM,control,7/15/2019 12:50,-0.0302,0.1078,2341.2,73.7,63.7,73.645,83.779,32.5,-0.1835,1200.6,109.4,101.9,4.393
LM,control,7/15/2019 13:00,-0.0302,0.1078,2501.2,78.7,68.7,74.25,81.952,35,-0.1835,1276.9,115.6,105.6,4.393
LM,control,7/15/2019 13:10,-0.0295,0.1085,863.7,23.7,23.7,74.856,78.996,34.1,-0.1835,401.9,36.9,36.9,4.418
LM,control,7/15/2019 13:20,-0.0295,0.1085,2263.7,68.7,61.2,75.376,82.396,34.9,-0.1835,1155.6,100.6,93.1,4.393
LM,control,7/15/2019 13:30,-0.0295,0.1085,2348.7,68.7,63.7,75.942,81.909,34.5,-0.1835,1204.4,104.4,96.9,4.393
LM,control,7/15/2019 13:40,-0.0295,0.1092,2308.7,66.2,61.2,76.419,82.13,35.3,-0.1835,1168.1,100.6,94.4,4.442
LM,control,7/15/2019 13:50,-0.0295,0.1092,888.7,23.7,23.7,76.986,82.441,35.6,-0.1835,425.6,39.4,39.4,4.4
LM,control,7/15/2019 14:00,-0.0295,0.11,663.7,18.7,18.7,77.464,81.023,33.4,-0.1835,323.1,30.6,31.9,4.393
LM,control,7/15/2019 14:10,-0.0295,0.11,521.2,13.7,13.7,77.684,76.158,38.8,-0.1835,253.1,25.6,25.6,4.393
LM,control,7/15/2019 14:20,-0.0302,0.11,486.2,13.7,13.7,77.945,72.567,39.3,-0.1835,234.4,23.1,24.4,4.418
LM,control,7/15/2019 14:30,-0.0302,0.11,738.7,21.2,21.2,78.076,72.912,40,-0.1835,365.6,34.4,34.4,4.4
LM,control,7/15/2019 14:40,-0.0309,0.11,621.2,16.2,16.2,78.251,74.683,43.4,-0.1835,311.9,30.6,31.9,4.393
LM,control,7/15/2019 14:50,-0.0309,0.11,518.7,13.7,13.7,78.339,74.12,42.2,-0.1835,256.9,25.6,26.9,4.46
LM,control,7/15/2019 15:00,-0.0309,0.11,511.2,13.7,13.7,78.339,74.338,43.1,-0.1835,258.1,25.6,26.9,4.406
LM,control,7/15/2019 15:10,-0.0302,0.11,731.2,18.7,21.2,78.165,71.19,57.8,-0.1835,393.1,35.6,39.4,4.393
LM,control,7/15/2019 15:20,-0.0302,0.11,511.2,13.7,13.7,78.033,71.791,55.2,-0.1835,261.9,25.6,28.1,4.393
LM,control,7/15/2019 15:30,-0.0302,0.11,621.2,16.2,16.2,77.902,73.558,47.3,-0.1835,303.1,29.4,30.6,4.418
LM,control,7/15/2019 15:40,-0.0302,0.11,1603.7,43.7,43.7,77.727,71.92,49.8,-0.1835,788.1,70.6,74.4,4.4
LM,control,7/15/2019 15:50,-0.0302,0.11,1711.2,48.7,48.7,77.727,75.074,46,-0.1835,840.6,76.9,81.9,4.393
LM,control,7/15/2019 16:00,-0.0302,0.1092,573.7,13.7,16.2,77.639,75.637,44.4,-0.1835,256.9,23.1,25.6,4.393
LM,control,7/15/2019 16:10,-0.0309,0.1092,1843.7,51.2,51.2,77.378,73.645,44.6,-0.1835,904.4,84.4,90.6,4.418
LM,control,7/15/2019 16:20,-0.0309,0.1092,678.7,16.2,18.7,77.203,73.386,45.3,-0.1835,319.4,30.6,31.9,4.4
LM,control,7/15/2019 16:30,-0.0309,0.1092,1263.7,33.7,33.7,77.16,77.945,38,-0.1835,620.6,59.4,63.1,4.393
LM,control,7/15/2019 16:40,-0.0309,0.1092,511.2,13.7,13.7,76.986,75.898,44.1,-0.1835,258.1,25.6,26.9,4.393
LM,control,7/15/2019 16:50,-0.0309,0.1092,558.7,16.2,13.7,76.854,74.554,37.4,-0.1835,269.4,25.6,26.9,4.418
LM,control,7/15/2019 17:00,-0.0309,0.1092,1528.7,41.2,41.2,76.768,78.733,37.6,-0.1835,741.9,78.1,81.9,4.4
LM,control,7/15/2019 17:10,-0.0317,0.1092,493.7,11.2,13.7,76.636,71.834,42.3,-0.1835,220.6,21.9,24.4,4.393
LM,control,7/15/2019 17:20,-0.0317,0.1092,1513.7,41.2,41.2,76.507,76.768,40,-0.1835,744.4,78.1,83.1,4.442
LM,control,7/15/2019 17:30,-0.0309,0.1092,556.2,13.7,13.7,76.419,74.381,34.7,-0.1835,259.4,25.6,28.1,4.418
LM,control,7/15/2019 17:40,-0.0317,0.1092,361.2,8.7,8.7,76.246,72.48,42.3,-0.1835,165.6,15.6,16.9,4.406
LM,control,7/15/2019 17:50,-0.0317,0.1085,273.7,6.2,6.2,76.114,69.643,40.1,-0.1835,126.9,11.9,13.1,4.4
LM,control,7/15/2019 18:00,-0.0317,0.1085,293.7,6.2,6.2,75.942,69.685,39.2,-0.1835,144.4,13.1,14.4,4.393
LM,control,7/15/2019 18:10,-0.0317,0.1085,218.7,3.7,6.2,75.81,69.985,38.9,-0.1835,110.6,10.6,10.6,4.442
LM,control,7/15/2019 18:20,-0.0317,0.1078,151.2,3.7,3.7,75.594,69.129,38.3,-0.1835,76.9,6.9,6.9,4.4
LM,control,7/15/2019 18:30,-0.0324,0.1085,98.7,1.2,1.2,75.42,67.5,43.8,-0.1835,50.6,4.4,4.4,4.393
LM,control,7/15/2019 18:40,-0.0317,0.1078,58.7,1.2,1.2,75.16,65.23,48.2,-0.1835,30.6,1.9,1.9,4.4
LM,control,7/15/2019 18:50,-0.0324,0.1078,56.2,1.2,1.2,74.943,62.191,58.1,-0.1835,30.6,1.9,1.9,4.393
LM,control,7/15/2019 19:00,-0.0324,0.1078,141.2,1.2,3.7,74.64,60.217,64.6,-0.1835,75.6,6.9,6.9,4.43
LM,control,7/15/2019 19:10,-0.0324,0.1071,216.2,3.7,6.2,74.424,61.506,58.7,-0.1835,110.6,10.6,10.6,4.4
LM,control,7/15/2019 19:20,-0.0324,0.1071,146.2,1.2,3.7,74.206,63.262,50.4,-0.1835,70.6,6.9,6.9,4.4
LM,control,7/15/2019 19:30,-0.0324,0.1071,118.7,1.2,1.2,73.947,63.304,47.6,-0.1835,58.1,4.4,5.6,4.4
LM,control,7/15/2019 19:40,-0.0324,0.1071,93.7,1.2,1.2,73.688,62.533,50.2,-0.1835,48.1,4.4,4.4,4.393
LM,control,7/15/2019 19:50,-0.0324,0.1071,86.2,1.2,1.2,73.429,62.191,50.7,-0.1835,41.9,3.1,4.4,4.406
LM,control,7/15/2019 20:00,-0.0324,0.1071,86.2,1.2,1.2,73.17,61.162,55.8,-0.1835,44.4,4.4,4.4,4.4
LM,control,7/15/2019 20:10,-0.0324,0.1063,61.2,1.2,1.2,72.912,58.669,60.1,-0.1835,31.9,1.9,3.1,4.4
LM,control,7/15/2019 20:20,-0.0324,0.1063,28.7,1.2,1.2,72.653,57.85,59.7,-0.1835,14.4,0.6,0.6,4.4
LM,control,7/15/2019 20:30,-0.0324,0.1063,11.2,1.2,1.2,72.351,55.733,63.9,-0.1835,4.4,0.6,0.6,4.4
LM,control,7/15/2019 20:40,-0.0324,0.1056,3.7,1.2,1.2,72.093,53.427,67.2,-0.1835,0.6,0.6,0.6,4.418
LM,control,7/15/2019 20:50,-0.0324,0.1056,1.2,1.2,1.2,71.791,52.16,68.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 21:00,-0.0331,0.1056,1.2,1.2,1.2,71.49,51.458,70,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 21:10,-0.0331,0.1049,1.2,1.2,1.2,71.19,50.356,72.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 21:20,-0.0331,0.1049,1.2,1.2,1.2,70.887,48.983,76.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 21:30,-0.0331,0.1049,1.2,1.2,1.2,70.63,49.294,74.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 21:40,-0.0324,0.1042,1.2,1.2,1.2,70.329,48.583,78.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 21:50,-0.0331,0.1042,1.2,1.2,1.2,70.029,47.422,81.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 22:00,-0.0331,0.1042,1.2,1.2,1.2,69.728,46.571,83.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 22:10,-0.0331,0.1042,1.2,1.2,1.2,69.427,46.031,84.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 22:20,-0.0324,0.1034,1.2,1.2,1.2,69.17,46.076,84.1,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 22:30,-0.0331,0.1034,1.2,1.2,1.2,68.871,45.851,84.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 22:40,-0.0331,0.1034,1.2,1.2,1.2,68.614,45.036,84.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 22:50,-0.0331,0.1034,1.2,1.2,1.2,68.313,43.716,85.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 23:00,-0.0331,0.1027,1.2,1.2,1.2,68.056,43.351,87.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 23:10,-0.0331,0.1027,1.2,1.2,1.2,67.757,42.525,89.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 23:20,-0.0331,0.1027,1.2,1.2,1.2,67.5,42.294,89.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 23:30,-0.0331,0.1027,1.2,1.2,1.2,67.242,41.97,89.4,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 23:40,-0.0331,0.1027,1.2,1.2,1.2,66.985,42.478,88.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/15/2019 23:50,-0.0338,0.1027,1.2,1.2,1.2,66.729,43.306,88.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 0:00,-0.0331,0.102,1.2,1.2,1.2,66.472,44.31,85.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 0:10,-0.0338,0.102,1.2,1.2,1.2,66.214,42.341,88.6,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 0:20,-0.0331,0.102,1.2,1.2,1.2,66,43.306,87.1,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 0:30,-0.0331,0.102,1.2,1.2,1.2,65.745,42.8,87.3,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 0:40,-0.0331,0.102,1.2,1.2,1.2,65.53,42.156,88.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 0:50,-0.0331,0.102,1.2,1.2,1.2,65.273,40.392,90.7,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 1:00,-0.0338,0.1012,1.2,1.2,1.2,65.059,39.643,92.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 1:10,-0.0331,0.1012,1.2,1.2,1.2,64.803,39.407,91.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 1:20,-0.0331,0.1012,1.2,1.2,1.2,64.589,39.313,92.5,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 1:30,-0.0331,0.1012,1.2,1.2,1.2,64.375,39.313,92.2,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 1:40,-0.0331,0.1005,1.2,1.2,1.2,64.161,39.549,91.1,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 1:50,-0.0331,0.1005,1.2,1.2,1.2,63.946,39.124,91.1,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 2:00,-0.0331,0.1005,1.2,1.2,1.2,63.732,38.511,93.7,-0.1835,0.6,0.6,0.6,4.381
LM,control,7/16/2019 2:10,-0.0331,0.1005,1.2,1.2,1.2,63.518,37.989,93.1,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 2:20,-0.0338,0.1005,1.2,1.2,1.2,63.304,38.889,94.7,-0.1835,0.6,0.6,0.6,4.381
LM,control,7/16/2019 2:30,-0.0338,0.0998,1.2,1.2,1.2,63.09,39.596,93.5,-0.1835,0.6,0.6,0.6,4.381
LM,control,7/16/2019 2:40,-0.0338,0.0998,1.2,1.2,1.2,62.919,40.111,92.7,-0.1835,0.6,0.6,0.6,4.381
LM,control,7/16/2019 2:50,-0.0338,0.0998,1.2,1.2,1.2,62.704,38.273,93.1,-0.1835,0.6,0.6,0.6,4.381
LM,control,7/16/2019 3:00,-0.0338,0.0998,1.2,1.2,1.2,62.49,38.131,94.2,-0.1835,0.6,0.6,0.6,4.381
LM,control,7/16/2019 3:10,-0.0338,0.0998,1.2,1.2,1.2,62.319,38.037,93.9,-0.1835,0.6,0.6,0.6,4.393
LM,control,7/16/2019 3:20,-0.0338,0.0998,1.2,1.2,1.2,62.148,37.846,94.7,-0.1835,0.6,0.6,0.6,4.381
LM,control,7/16/2019 3:30,-0.0338,0.0991,1.2,1.2,1.2,61.934,38.415,94.7,-0.1835,0.6,0.6,0.6,4.381
LM,control,7/16/2019 3:40,-0.0338,0.0991,1.2,1.2,1.2,61.761,37.56,94.8,-0.1835,0.6,0.6,0.6,4.381
LM,control,7/16/2019 3:50,-0.0338,0.0991,1.2,1.2,1.2,61.59,39.69,93.1,-0.1835,0.6,0.6,0.6,4.381
LM,control,7/16/2019 4:00,-0.0338,0.0983,1.2,1.2,1.2,61.419,38.937,94.5,-0.1835,0.6,0.6,0.6,4.381
LM,control,7/16/2019 4:10,-0.0338,0.0983,1.2,1.2,1.2,61.248,40.204,94.2,-0.1835,0.6,0.6,0.6,4.381
LM,control,7/16/2019 4:20,-0.0338,0.0983,1.2,1.2,1.2,61.119,39.502,92.7,-0.1835,0.6,0.6,0.6,4.375
LM,control,7/16/2019 4:30,-0.0338,0.0983,1.2,1.2,1.2,60.948,40.998,92.7,-0.1835,0.6,0.6,0.6,4.375
LM,control,7/16/2019 4:40,-0.0338,0.0983,1.2,1.2,1.2,60.775,39.83,92.2,-0.1835,0.6,0.6,0.6,4.375
LM,control,7/16/2019 4:50,-0.0338,0.0983,1.2,1.2,1.2,60.604,40.345,93.2,-0.1835,0.6,0.6,0.6,4.369
LM,control,7/16/2019 5:00,-0.0338,0.0983,1.2,1.2,1.2,60.517,39.267,94.4,-0.1835,0.6,0.6,0.6,4.375
LM,control,7/16/2019 5:10,-0.0338,0.0983,1.2,1.2,1.2,60.346,38.322,92.5,-0.1835,0.6,0.6,0.6,4.369
LM,control,7/16/2019 5:20,-0.0338,0.0983,1.2,1.2,1.2,60.217,38.795,94.8,-0.1835,0.6,0.6,0.6,4.375
LM,control,7/16/2019 5:30,-0.0338,0.0976,1.2,1.2,1.2,60.089,38.984,95,-0.1835,0.6,0.6,0.6,4.369
LM,control,7/16/2019 5:40,-0.0338,0.0976,1.2,1.2,1.2,59.916,40.111,95.1,-0.1835,0.6,0.6,0.6,4.369
LM,control,7/16/2019 5:50,-0.0338,0.0976,3.7,1.2,1.2,59.83,41.832,93.7,-0.1835,0.6,0.6,0.6,4.369
LM,control,7/16/2019 6:00,-0.0338,0.0976,11.2,1.2,1.2,59.702,41.878,91.4,-0.1835,3.1,0.6,0.6,4.369
LM,control,7/16/2019 6:10,-0.0338,0.0976,23.7,1.2,1.2,59.572,40.111,93.7,-0.1835,6.9,0.6,0.6,4.369
LM,control,7/16/2019 6:20,-0.0338,0.0976,36.2,1.2,1.2,59.445,40.532,94.9,-0.1835,10.6,0.6,0.6,4.375
LM,control,7/16/2019 6:30,-0.0338,0.0976,51.2,1.2,1.2,59.315,41.878,93.2,-0.1835,14.4,0.6,0.6,4.393
LM,control,7/16/2019 6:40,-0.0338,0.0976,71.2,1.2,1.2,59.229,41.137,93.8,-0.1835,20.6,0.6,0.6,4.4
LM,control,7/16/2019 6:50,-0.0338,0.0976,278.7,6.2,8.7,59.099,43.945,91.4,-0.1835,166.9,19.4,23.1,4.442
LM,control,7/16/2019 7:00,-0.0346,0.0976,333.7,8.7,11.2,59.014,48.182,83.5,-0.1835,193.1,23.1,26.9,4.418
LM,control,7/16/2019 7:10,-0.0338,0.0976,393.7,11.2,13.7,58.928,50.664,82.4,-0.1835,219.4,25.6,30.6,4.418
LM,control,7/16/2019 7:20,-0.0346,0.0976,476.2,11.2,16.2,58.885,52.115,81.1,-0.1835,259.4,30.6,35.6,4.4
LM,control,7/16/2019 7:30,-0.0346,0.0976,591.2,16.2,18.7,58.798,54.734,79.5,-0.1835,318.1,35.6,41.9,4.418
LM,control,7/16/2019 7:40,-0.0338,0.0976,686.2,18.7,21.2,58.798,56.165,76.2,-0.1835,364.4,40.6,46.9,4.4
LM,control,7/16/2019 7:50,-0.0346,0.0976,683.7,18.7,21.2,58.798,56.556,75.4,-0.1835,358.1,39.4,45.6,4.418
LM,control,7/16/2019 8:00,-0.0338,0.0976,801.2,21.2,26.2,58.798,60.046,70.3,-0.1835,411.9,44.4,51.9,4.418
LM,control,7/16/2019 8:10,-0.0346,0.0976,846.2,23.7,26.2,58.842,62.748,67.9,-0.1835,433.1,46.9,53.1,4.43
LM,control,7/16/2019 8:20,-0.0338,0.0976,913.7,26.2,28.7,58.971,63.561,66.6,-0.1835,461.9,49.4,55.6,4.418
LM,control,7/16/2019 8:30,-0.0338,0.0983,968.7,28.7,28.7,59.099,65.487,60.9,-0.1835,486.9,50.6,58.1,4.4
LM,control,7/16/2019 8:40,-0.0338,0.0983,1041.2,31.2,31.2,59.272,69.814,55.5,-0.1835,520.6,54.4,61.9,4.538
LM,control,7/16/2019 8:50,-0.0338,0.0983,1106.2,33.7,33.7,59.572,69.386,53.9,-0.1835,551.9,56.9,64.4,4.418
LM,control,7/16/2019 9:00,-0.0338,0.0983,1171.2,33.7,33.7,59.873,69.343,55.7,-0.1835,581.9,59.4,66.9,4.406
LM,control,7/16/2019 9:10,-0.0338,0.0983,1231.2,36.2,36.2,60.217,69.514,57,-0.1835,609.4,63.1,69.4,4.393
LM,control,7/16/2019 9:20,-0.0338,0.0983,1296.2,38.7,38.7,60.604,68.913,54.8,-0.1835,640.6,65.6,70.6,4.43
LM,control,7/16/2019 9:30,-0.0338,0.0983,1356.2,43.7,38.7,61.032,70.201,50.2,-0.1835,670.6,68.1,73.1,4.418
LM,control,7/16/2019 9:40,-0.0338,0.0991,1408.7,46.2,41.2,61.506,71.92,49.2,-0.1835,695.6,70.6,75.6,4.4
LM,control,7/16/2019 9:50,-0.0338,0.0991,1458.7,46.2,41.2,61.977,73.904,45.9,-0.1835,719.4,73.1,76.9,4.393
LM,control,7/16/2019 10:00,-0.0331,0.0991,1511.2,48.7,43.7,62.533,74.077,45.7,-0.1835,744.4,75.6,78.1,4.43
LM,control,7/16/2019 10:10,-0.0338,0.0998,1571.2,51.2,43.7,63.048,72.955,50.1,-0.1835,771.9,78.1,79.4,4.418
LM,control,7/16/2019 10:20,-0.0338,0.0998,1621.2,53.7,43.7,63.648,73.947,48.4,-0.1835,795.6,79.4,79.4,4.4
LM,control,7/16/2019 10:30,-0.0338,0.0998,1663.7,53.7,46.2,64.247,74.295,48.6,-0.1835,819.4,81.9,80.6,4.393
LM,control,7/16/2019 10:40,-0.0338,0.1005,1706.2,56.2,46.2,64.845,74.511,48.5,-0.1835,840.6,83.1,81.9,4.526
LM,control,7/16/2019 10:50,-0.0331,0.1005,1751.2,58.7,48.7,65.403,73.558,49.4,-0.1835,870.6,85.6,81.9,4.418
LM,control,7/16/2019 11:00,-0.0331,0.1012,1793.7,61.2,48.7,66.043,75.117,47.8,-0.1835,899.4,86.9,83.1,4.4
LM,control,7/16/2019 11:10,-0.0331,0.1012,1828.7,61.2,51.2,66.686,76.289,44.8,-0.1835,924.4,88.1,83.1,4.393
LM,control,7/16/2019 11:20,-0.0331,0.1012,1913.7,63.7,51.2,67.329,76.246,47,-0.1835,971.9,90.6,85.6,4.393
LM,control,7/16/2019 11:30,-0.0324,0.102,2008.7,66.2,53.7,67.928,77.684,40.1,-0.1835,1025.6,95.6,88.1,4.418
LM,control,7/16/2019 11:40,-0.0324,0.102,2008.7,66.2,53.7,68.484,78.121,43,-0.1835,1029.4,95.6,89.4,4.406
LM,control,7/16/2019 11:50,-0.0324,0.1027,406.2,11.2,11.2,69.17,79.173,37,-0.1835,191.9,19.4,19.4,4.393
LM,control,7/16/2019 12:00,-0.0324,0.1027,2346.2,76.2,63.7,69.643,75.463,42.3,-0.1835,1221.9,113.1,104.4,4.393
LM,control,7/16/2019 12:10,-0.0331,0.1027,481.2,13.7,11.2,69.985,71.361,47.1,-0.1835,233.1,23.1,23.1,4.418
LM,control,7/16/2019 12:20,-0.0331,0.1027,1361.2,43.7,38.7,70.329,71.447,47.4,-0.1835,706.9,64.4,64.4,4.4
LM,control,7/16/2019 12:30,-0.0331,0.1034,2086.2,66.2,56.2,70.716,75.898,41.8,-0.1835,1076.9,95.6,88.1,4.393
LM,control,7/16/2019 12:40,-0.0324,0.1034,2101.2,66.2,56.2,71.317,79.392,41.4,-0.1835,1076.9,94.4,86.9,4.393
LM,control,7/16/2019 12:50,-0.0324,0.1042,768.7,21.2,18.7,71.791,80.668,38.8,-0.1835,363.1,33.1,31.9,4.418
LM,control,7/16/2019 13:00,-0.0317,0.1049,928.7,26.2,23.7,72.307,83.021,30,-0.1835,441.9,40.6,38.1,4.4
LM,control,7/16/2019 13:10,-0.0324,0.1042,796.2,23.7,21.2,72.48,76.464,33.1,-0.1835,375.6,34.4,33.1,4.393
LM,control,7/16/2019 13:20,-0.0317,0.1049,2191.2,66.2,58.7,73.04,82.042,27,-0.1835,1125.6,96.9,90.6,4.393
LM,control,7/16/2019 13:30,-0.0317,0.1056,2276.2,66.2,61.2,73.558,84.587,31.9,-0.1835,1180.6,101.9,95.6,4.418
LM,control,7/16/2019 13:40,-0.0317,0.1056,2303.7,66.2,61.2,74.077,83.154,31.6,-0.1835,1191.9,101.9,95.6,4.393
LM,control,7/16/2019 13:50,-0.0317,0.1056,1351.2,38.7,33.7,74.381,76.854,33.6,-0.1835,680.6,59.4,55.6,4.393
LM,control,7/16/2019 14:00,-0.0324,0.1056,701.2,18.7,18.7,74.727,78.996,36,-0.1835,331.9,30.6,31.9,4.442
LM,control,7/16/2019 14:10,-0.0324,0.1056,593.7,16.2,16.2,75.029,75.029,35.5,-0.1835,296.9,29.4,29.4,4.418
LM,control,7/16/2019 14:20,-0.0324,0.1063,671.2,18.7,18.7,75.247,73.17,38,-0.1835,340.6,33.1,33.1,4.4
LM,control,7/16/2019 14:30,-0.0324,0.1063,736.2,21.2,18.7,75.463,73.861,38,-0.1835,376.9,35.6,36.9,4.393
LM,control,7/16/2019 14:40,-0.0324,0.1063,2158.7,58.7,56.2,75.81,80.096,35.7,-0.1835,1095.6,91.9,93.1,4.448
LM,control,7/16/2019 14:50,-0.0324,0.1071,2131.2,58.7,56.2,76.158,81.333,33.3,-0.1835,1079.4,89.4,91.9,4.418
LM,control,7/16/2019 15:00,-0.0324,0.1071,381.2,8.7,8.7,76.246,73.256,34.5,-0.1835,190.6,18.1,19.4,4.393
LM,control,7/16/2019 15:10,-0.0324,0.1071,1986.2,53.7,51.2,76.419,78.602,38.6,-0.1835,979.4,81.9,85.6,4.393
LM,control,7/16/2019 15:20,-0.0324,0.1071,1993.7,53.7,53.7,76.725,79.128,37.9,-0.1835,981.9,83.1,86.9,4.526
LM,control,7/16/2019 15:30,-0.0331,0.1071,1888.7,51.2,51.2,76.899,79.392,36.3,-0.1835,920.6,79.4,83.1,4.412
LM,control,7/16/2019 15:40,-0.0324,0.1071,423.7,11.2,11.2,77.16,79.216,35.3,-0.1835,170.6,15.6,15.6,4.393
LM,control,7/16/2019 15:50,-0.0324,0.1071,686.2,16.2,16.2,77.378,79.041,33.7,-0.1835,301.9,26.9,28.1,4.393
LM,control,7/16/2019 16:00,-0.0324,0.1078,1768.7,48.7,48.7,77.596,82.13,29.1,-0.1835,855.6,78.1,81.9,4.442
LM,control,7/16/2019 16:10,-0.0324,0.1078,1723.7,48.7,46.2,77.815,80.668,33.6,-0.1835,834.4,78.1,83.1,4.406
LM,control,7/16/2019 16:20,-0.0324,0.1078,1826.2,51.2,51.2,77.945,79.128,35.2,-0.1835,898.1,85.6,91.9,4.393
LM,control,7/16/2019 16:30,-0.0324,0.1078,1648.7,46.2,43.7,78.121,79.304,38.7,-0.1835,806.9,78.1,84.4,4.393
LM,control,7/16/2019 16:40,-0.0331,0.1078,1628.7,46.2,43.7,78.296,80.845,34.7,-0.1835,795.6,78.1,83.1,4.418
LM,control,7/16/2019 16:50,-0.0331,0.1078,851.2,23.7,21.2,78.427,79.743,31.4,-0.1835,393.1,38.1,39.4,4.4
LM,control,7/16/2019 17:00,-0.0331,0.1085,1456.2,41.2,38.7,78.514,82.798,34.6,-0.1835,708.1,74.4,75.6,4.393
LM,control,7/16/2019 17:10,-0.0331,0.1085,1328.7,38.7,36.2,78.602,79.128,33.8,-0.1886,639.4,68.1,70.6,4.43
LM,control,7/16/2019 17:20,-0.0331,0.1085,1248.7,33.7,33.7,78.602,77.99,35.2,-0.1886,599.4,64.4,66.9,4.418
