Plot Title: 9735539_SM_LM_B2_trmt,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00",,"PAR, uE (LGR S/N: 9735539, SEN S/N: 9700886)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700897)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700898)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9719147, LBL: LM_B2)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9719458)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9721325)","RH, % (LGR S/N: 9735539, SEN S/N: 9721325)","Voltage, V (LGR S/N: 9735539, SEN S/N: 9725487)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734410)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734417)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 20145934, LBL: LM_B2R)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 20145936, LBL: LM_B2L)"
Site,Treatment,Date,Time,PAR.up,PAR.left,PAR.right,ST,SR.right,Air.T,RH,,SR.up,SR.left,SWC.right,SWC.left
LM,early,9/2/2019,23:20,1.2,1.2,1.2,53.69,0.6,39.267,63.3,-0.1988,0.6,0.6,0.2083,0.1326
LM,early,9/2/2019,23:30,1.2,1.2,1.2,53.427,0.6,39.783,61.8,-0.1988,0.6,0.6,0.2083,0.1326
LM,early,9/2/2019,23:40,1.2,1.2,1.2,53.166,0.6,39.97,60.9,-0.1988,0.6,0.6,0.2078,0.1326
LM,early,9/2/2019,23:50,1.2,1.2,1.2,52.903,0.6,39.877,62.5,-0.1988,0.6,0.6,0.2078,0.1326
LM,early,9/3/2019,0:00,1.2,1.2,1.2,52.686,0.6,40.298,61.2,-0.1988,0.6,0.6,0.2078,0.1321
LM,early,9/3/2019,0:10,1.2,1.2,1.2,52.466,0.6,38.889,65.3,-0.1988,0.6,0.6,0.2078,0.1331
LM,early,9/3/2019,0:20,1.2,1.2,1.2,52.246,0.6,39.22,65.2,-0.1988,0.6,0.6,0.2078,0.1326
LM,early,9/3/2019,0:30,1.2,1.2,1.2,52.029,0.6,37.609,68.9,-0.1988,0.6,0.6,0.2078,0.1331
LM,early,9/3/2019,0:40,1.2,1.2,1.2,51.852,0.6,37.13,69.3,-0.1988,0.6,0.6,0.2083,0.1326
LM,early,9/3/2019,0:50,1.2,1.2,1.2,51.589,0.6,37.656,66.6,-0.1988,0.6,0.6,0.2083,0.1326
LM,early,9/3/2019,1:00,1.2,1.2,1.2,51.413,0.6,38.131,65.4,-0.1988,0.6,0.6,0.2083,0.1326
LM,early,9/3/2019,1:10,1.2,1.2,1.2,51.193,0.6,37.035,67.8,-0.1988,0.6,0.6,0.2083,0.1326
LM,early,9/3/2019,1:20,1.2,1.2,1.2,50.974,0.6,35.83,69.5,-0.1988,0.6,0.6,0.2083,0.1326
LM,early,9/3/2019,1:30,1.2,1.2,1.2,50.752,0.6,35.928,69.7,-0.1988,0.6,0.6,0.2078,0.1326
LM,early,9/3/2019,1:40,1.2,1.2,1.2,50.533,0.6,36.651,72.2,-0.1988,0.6,0.6,0.2078,0.1326
LM,early,9/3/2019,1:50,1.2,1.2,1.2,50.356,0.6,37.798,69.1,-0.1988,0.6,0.6,0.2078,0.1321
LM,early,9/3/2019,2:00,1.2,1.2,1.2,50.18,0.6,37.56,67.5,-0.1988,0.6,0.6,0.2078,0.1321
LM,early,9/3/2019,2:10,1.2,1.2,1.2,50.002,0.6,35.879,70.3,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,2:20,1.2,1.2,1.2,49.87,0.6,35.589,71.4,-0.1988,0.6,0.6,0.2083,0.1317
LM,early,9/3/2019,2:30,1.2,1.2,1.2,49.737,0.6,36.313,71.1,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,2:40,1.2,1.2,1.2,49.561,0.6,35.685,71.5,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,2:50,1.2,1.2,1.2,49.383,0.6,36.025,73,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,3:00,1.2,1.2,1.2,49.249,0.6,36.313,72.4,-0.1988,0.6,0.6,0.2078,0.1312
LM,early,9/3/2019,3:10,1.2,1.2,1.2,49.116,0.6,36.698,71.1,-0.1988,0.6,0.6,0.2078,0.1312
LM,early,9/3/2019,3:20,1.2,1.2,1.2,48.938,0.6,36.795,71.9,-0.1988,0.6,0.6,0.2078,0.1312
LM,early,9/3/2019,3:30,1.2,1.2,1.2,48.85,0.6,37.035,71.3,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,3:40,1.2,1.2,1.2,48.717,0.6,37.13,71.2,-0.1988,0.6,0.6,0.2078,0.1312
LM,early,9/3/2019,3:50,1.2,1.2,1.2,48.583,0.6,35.2,74,-0.1988,0.6,0.6,0.2078,0.1321
LM,early,9/3/2019,4:00,1.2,1.2,1.2,48.493,0.6,35.298,74.2,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,4:10,1.2,1.2,1.2,48.315,0.6,35.2,73.7,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,4:20,1.2,1.2,1.2,48.227,0.6,35.492,74.5,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,4:30,1.2,1.2,1.2,48.137,0.6,37.179,71.2,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,4:40,1.2,1.2,1.2,48.004,0.6,36.986,70.4,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,4:50,1.2,1.2,1.2,47.959,0.6,36.842,70.4,-0.1988,0.6,0.6,0.2078,0.1321
LM,early,9/3/2019,5:00,1.2,1.2,1.2,47.871,0.6,37.989,70.9,-0.1988,0.6,0.6,0.2078,0.1321
LM,early,9/3/2019,5:10,1.2,1.2,1.2,47.781,0.6,35.346,74.2,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,5:20,1.2,1.2,1.2,47.691,0.6,34.713,74.5,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,5:30,1.2,1.2,1.2,47.602,0.6,34.565,74.8,-0.1988,0.6,0.6,0.2078,0.1321
LM,early,9/3/2019,5:40,1.2,1.2,1.2,47.512,0.6,33.681,77.2,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,5:50,1.2,1.2,1.2,47.377,0.6,33.681,76.9,-0.1988,0.6,0.6,0.2078,0.1321
LM,early,9/3/2019,6:00,1.2,1.2,1.2,47.244,0.6,34.272,73.6,-0.1988,0.6,0.6,0.2078,0.1321
LM,early,9/3/2019,6:10,1.2,1.2,1.2,47.154,0.6,34.858,73.8,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,6:20,1.2,1.2,1.2,47.019,0.6,34.957,71.7,-0.1988,0.6,0.6,0.2078,0.1317
LM,early,9/3/2019,6:30,3.7,1.2,1.2,46.886,0.6,35.346,73,-0.1988,1.9,0.6,0.2078,0.1321
LM,early,9/3/2019,6:40,11.2,1.2,1.2,46.796,0.6,34.124,75.7,-0.1988,4.4,0.6,0.2073,0.1317
LM,early,9/3/2019,6:50,26.2,1.2,1.2,46.706,1.9,33.78,74.7,-0.1988,9.4,0.6,0.2073,0.1317
LM,early,9/3/2019,7:00,38.7,1.2,1.2,46.571,1.9,34.075,76.1,-0.1988,13.1,0.6,0.2073,0.1317
LM,early,9/3/2019,7:10,51.2,1.2,1.2,46.481,3.1,35.298,74.5,-0.1988,16.9,1.9,0.2073,0.1317
LM,early,9/3/2019,7:20,63.7,1.2,1.2,46.436,3.1,36.41,70.3,-0.1988,21.9,1.9,0.2078,0.1317
LM,early,9/3/2019,7:30,118.7,23.7,23.7,46.391,76.9,40.764,69,-0.1988,61.9,55.6,0.2078,0.1331
LM,early,9/3/2019,7:40,188.7,26.2,26.2,46.346,84.4,44.946,60.9,-0.1988,100.6,60.6,0.2078,0.1326
LM,early,9/3/2019,7:50,266.2,28.7,28.7,46.436,90.6,48.137,57.5,-0.1988,124.4,63.1,0.2078,0.1326
LM,early,9/3/2019,8:00,331.2,28.7,31.2,46.526,95.6,52.641,49.4,-0.1988,189.4,65.6,0.2073,0.1321
LM,early,9/3/2019,8:10,398.7,31.2,31.2,46.706,99.4,54.952,47.1,-0.1988,224.4,70.6,0.2073,0.1321
LM,early,9/3/2019,8:20,466.2,33.7,33.7,46.931,104.4,58.368,41.1,-0.1988,260.6,75.6,0.2073,0.1331
LM,early,9/3/2019,8:30,541.2,36.2,36.2,47.199,106.9,60.474,39.1,-0.1988,299.4,80.6,0.2073,0.1331
LM,early,9/3/2019,8:40,613.7,38.7,38.7,47.512,111.9,62.191,38.3,-0.1988,338.1,84.4,0.2073,0.1317
LM,early,9/3/2019,8:50,688.7,41.2,41.2,47.871,115.6,64.888,33.6,-0.1988,376.9,86.9,0.207,0.1312
LM,early,9/3/2019,9:00,763.7,43.7,41.2,48.272,118.1,67.285,29.2,-0.1988,414.4,90.6,0.2073,0.1307
LM,early,9/3/2019,9:10,841.2,46.2,43.7,48.672,121.9,68.356,33.1,-0.1988,453.1,94.4,0.2073,0.1312
LM,early,9/3/2019,9:20,913.7,46.2,43.7,49.116,125.6,69.17,30.7,-0.1988,491.9,95.6,0.207,0.1307
LM,early,9/3/2019,9:30,983.7,48.7,43.7,49.561,128.1,71.274,29.5,-0.1988,530.6,98.1,0.207,0.1307
LM,early,9/3/2019,9:40,1058.7,48.7,46.2,50.002,130.6,73.213,26.6,-0.1988,566.9,100.6,0.207,0.1312
LM,early,9/3/2019,9:50,1126.2,51.2,46.2,50.533,133.1,75.029,24.9,-0.1988,601.9,103.1,0.207,0.1312
LM,early,9/3/2019,10:00,1193.7,51.2,46.2,51.062,134.4,76.464,24.6,-0.1988,636.9,104.4,0.2064,0.1321
LM,early,9/3/2019,10:10,1256.2,53.7,46.2,51.678,134.4,78.69,23.5,-0.1988,671.9,106.9,0.207,0.1302
LM,early,9/3/2019,10:20,1323.7,53.7,46.2,52.335,134.4,78.602,23.6,-0.1988,706.9,108.1,0.207,0.1312
LM,early,9/3/2019,10:30,1386.2,53.7,48.7,52.903,133.1,81.066,22.2,-0.1988,738.1,109.4,0.2064,0.1317
LM,early,9/3/2019,10:40,1438.7,53.7,48.7,53.559,133.1,82.085,21.6,-0.1988,766.9,111.9,0.2064,0.1312
LM,early,9/3/2019,10:50,1496.2,56.2,46.2,54.212,131.9,82.042,19.8,-0.1988,799.4,113.1,0.2064,0.1312
LM,early,9/3/2019,11:00,1551.2,56.2,46.2,54.909,131.9,84.004,21.3,-0.1988,829.4,114.4,0.2061,0.1317
LM,early,9/3/2019,11:10,1608.7,56.2,48.7,55.647,131.9,86.256,17.9,-0.1988,860.6,115.6,0.2056,0.1312
LM,early,9/3/2019,11:20,1658.7,56.2,48.7,56.383,130.6,87.71,15.8,-0.1988,886.9,116.9,0.2061,0.1312
LM,early,9/3/2019,11:30,1698.7,56.2,48.7,57.117,128.1,88.81,14.9,-0.1988,910.6,116.9,0.2061,0.1302
LM,early,9/3/2019,11:40,1756.2,58.7,51.2,57.936,129.4,87.163,14.6,-0.1988,939.4,118.1,0.2061,0.1307
LM,early,9/3/2019,11:50,1786.2,58.7,51.2,58.669,128.1,87.163,13.1,-0.1988,968.1,118.1,0.2056,0.1307
LM,early,9/3/2019,12:00,1053.7,33.7,28.7,59.358,68.1,86.301,14,-0.1988,533.1,64.4,0.2047,0.1312
LM,early,9/3/2019,12:10,1321.2,41.2,38.7,59.873,85.6,79.128,16.4,-0.1988,686.9,80.6,0.2056,0.1342
LM,early,9/3/2019,12:20,1991.2,63.7,58.7,60.346,128.1,87.939,15.2,-0.1988,1085.6,123.1,0.2052,0.1331
LM,early,9/3/2019,12:30,1946.2,58.7,56.2,60.775,123.1,89.132,15.4,-0.1988,1078.1,118.1,0.2052,0.1326
LM,early,9/3/2019,12:40,1996.2,58.7,56.2,61.29,120.6,89.546,13.8,-0.1988,1101.9,118.1,0.2047,0.1326
LM,early,9/3/2019,12:50,2041.2,61.2,56.2,61.891,118.1,88.579,14.1,-0.1988,1125.6,118.1,0.2052,0.1326
LM,early,9/3/2019,13:00,2051.2,61.2,58.7,62.447,119.4,90.333,12.6,-0.1988,1136.9,119.4,0.2052,0.1326
LM,early,9/3/2019,13:10,2068.7,61.2,58.7,63.048,115.6,91.87,13,-0.1988,1143.1,116.9,0.2047,0.1326
LM,early,9/3/2019,13:20,2121.2,66.2,61.2,63.648,118.1,91.776,13.2,-0.1988,1181.9,121.9,0.2052,0.1326
LM,early,9/3/2019,13:30,2091.2,63.7,61.2,64.204,114.4,92.151,12.3,-0.1988,1159.4,118.1,0.2047,0.1326
LM,early,9/3/2019,13:40,2008.7,61.2,58.7,64.717,106.9,90.147,13.6,-0.1988,1109.4,111.9,0.2047,0.1331
LM,early,9/3/2019,13:50,1996.2,61.2,61.2,65.188,104.4,90.703,13.3,-0.1988,1100.6,108.1,0.2052,0.1321
LM,early,9/3/2019,14:00,1978.7,61.2,61.2,65.53,104.4,92.291,13.3,-0.1988,1091.9,108.1,0.2047,0.1321
LM,early,9/3/2019,14:10,2001.2,61.2,61.2,65.829,106.9,90.657,12.3,-0.1988,1103.1,108.1,0.2052,0.1321
LM,early,9/3/2019,14:20,1986.2,61.2,61.2,66.087,104.4,88.947,12.9,-0.1988,1090.6,108.1,0.2047,0.1317
LM,early,9/3/2019,14:30,1966.2,61.2,63.7,66.258,105.6,89.776,12.9,-0.1988,1078.1,105.6,0.2047,0.1317
LM,early,9/3/2019,14:40,1991.2,63.7,63.7,66.385,108.1,91.123,12.2,-0.1988,1088.1,108.1,0.2047,0.1307
LM,early,9/3/2019,14:50,1916.2,58.7,61.2,66.515,105.6,90.844,12.6,-0.1988,1044.4,104.4,0.2047,0.1302
LM,early,9/3/2019,15:00,388.7,13.7,13.7,66.6,30.6,84.857,14.6,-0.1988,189.4,28.1,0.2052,0.1307
LM,early,9/3/2019,15:10,428.7,16.2,16.2,66.6,30.6,79.831,16.2,-0.1988,210.6,28.1,0.2052,0.1307
LM,early,9/3/2019,15:20,343.7,13.7,13.7,66.515,26.9,78.559,17.1,-0.1988,170.6,24.4,0.2052,0.1312
LM,early,9/3/2019,15:30,278.7,11.2,11.2,66.301,23.1,77.378,19.3,-0.1988,139.4,20.6,0.2047,0.1352
LM,early,9/3/2019,15:40,323.7,11.2,13.7,66.043,28.1,76.158,17.9,-0.1988,169.4,24.4,0.2052,0.1347
LM,early,9/3/2019,15:50,398.7,13.7,16.2,65.788,34.4,75.29,25.9,-0.1988,210.6,30.6,0.2052,0.1347
LM,early,9/3/2019,16:00,461.2,16.2,16.2,65.574,36.9,75.463,25.3,-0.1988,239.4,33.1,0.2052,0.1347
LM,early,9/3/2019,16:10,1331.2,41.2,43.7,65.359,79.4,76.986,25,-0.1988,695.6,73.1,0.2052,0.1357
LM,early,9/3/2019,16:20,1401.2,43.7,48.7,65.188,84.4,79.304,21.1,-0.1988,746.9,76.9,0.2052,0.1357
LM,early,9/3/2019,16:30,1148.7,36.2,38.7,65.017,70.6,80.316,19.1,-0.1988,605.6,65.6,0.2052,0.1352
LM,early,9/3/2019,16:40,696.2,23.7,26.2,64.888,48.1,83.021,18.4,-0.1988,363.1,43.1,0.2052,0.1342
LM,early,9/3/2019,16:50,318.7,11.2,11.2,64.803,23.1,77.553,21.8,-0.1988,159.4,20.6,0.2052,0.1342
LM,early,9/3/2019,17:00,261.2,8.7,8.7,64.632,19.4,75.508,20.4,-0.1988,131.9,18.1,0.2052,0.1342
LM,early,9/3/2019,17:10,251.2,8.7,8.7,64.503,20.6,74.511,20.7,-0.1988,129.4,18.1,0.2056,0.1342
LM,early,9/3/2019,17:20,261.2,8.7,8.7,64.375,21.9,73.731,23.9,-0.1988,135.6,19.4,0.2052,0.1347
LM,early,9/3/2019,17:30,221.2,8.7,6.2,64.161,18.1,73.688,22.8,-0.1988,113.1,15.6,0.2052,0.1347
LM,early,9/3/2019,17:40,223.7,6.2,6.2,63.99,18.1,72.869,21.6,-0.1988,115.6,15.6,0.2056,0.1357
LM,early,9/3/2019,17:50,223.7,6.2,6.2,63.819,16.9,72.523,23.4,-0.1988,118.1,15.6,0.2052,0.1352
LM,early,9/3/2019,18:00,193.7,6.2,6.2,63.648,15.6,71.231,24.2,-0.1988,103.1,14.4,0.2056,0.1357
LM,early,9/3/2019,18:10,133.7,3.7,3.7,63.475,10.6,71.017,25.1,-0.1988,71.9,9.4,0.2056,0.1357
LM,early,9/3/2019,18:20,96.2,3.7,3.7,63.262,6.9,70.502,24.7,-0.1988,51.9,6.9,0.2056,0.1357
LM,early,9/3/2019,18:30,51.2,1.2,1.2,63.09,3.1,69.942,25.4,-0.1988,28.1,3.1,0.2061,0.1357
LM,early,9/3/2019,18:40,36.2,1.2,1.2,62.834,3.1,69.042,25.5,-0.1988,20.6,1.9,0.2056,0.1352
LM,early,9/3/2019,18:50,33.7,1.2,1.2,62.661,3.1,66.429,30.4,-0.1988,19.4,1.9,0.2056,0.1352
LM,early,9/3/2019,19:00,21.2,1.2,1.2,62.406,1.9,64.589,31.7,-0.1988,11.9,0.6,0.2056,0.1352
LM,early,9/3/2019,19:10,13.7,1.2,1.2,62.191,0.6,66.344,27.5,-0.1988,6.9,0.6,0.2056,0.1357
LM,early,9/3/2019,19:20,6.2,1.2,1.2,61.934,0.6,65.959,28.4,-0.1988,3.1,0.6,0.2056,0.1352
LM,early,9/3/2019,19:30,1.2,1.2,1.2,61.72,0.6,67.671,28.6,-0.1988,0.6,0.6,0.2056,0.1335
LM,early,9/3/2019,19:40,1.2,1.2,1.2,61.462,0.6,65.316,31.6,-0.1988,0.6,0.6,0.2056,0.1352
LM,early,9/3/2019,19:50,1.2,1.2,1.2,61.248,0.6,66.472,31.4,-0.1988,0.6,0.6,0.2052,0.1335
LM,early,9/3/2019,20:00,1.2,1.2,1.2,61.032,0.6,66.214,31,-0.1988,0.6,0.6,0.2052,0.1342
LM,early,9/3/2019,20:10,1.2,1.2,1.2,60.861,0.6,65.829,31.9,-0.1988,0.6,0.6,0.2056,0.1347
LM,early,9/3/2019,20:20,1.2,1.2,1.2,60.69,0.6,64.888,32.4,-0.1988,0.6,0.6,0.2056,0.1347
LM,early,9/3/2019,20:30,1.2,1.2,1.2,60.517,0.6,61.633,36.2,-0.1988,0.6,0.6,0.2056,0.1342
LM,early,9/3/2019,20:40,1.2,1.2,1.2,60.346,0.6,59.616,38.2,-0.1988,0.6,0.6,0.2056,0.1335
LM,early,9/3/2019,20:50,1.2,1.2,1.2,60.132,0.6,59.572,39.6,-0.1988,0.6,0.6,0.2056,0.1326
LM,early,9/3/2019,21:00,1.2,1.2,1.2,59.916,0.6,59.099,39.7,-0.1988,0.6,0.6,0.2056,0.1331
LM,early,9/3/2019,21:10,1.2,1.2,1.2,59.745,0.6,58.798,40.3,-0.1988,0.6,0.6,0.2056,0.1326
LM,early,9/3/2019,21:20,1.2,1.2,1.2,59.529,0.6,57.549,43.9,-0.1988,0.6,0.6,0.2056,0.1331
LM,early,9/3/2019,21:30,1.2,1.2,1.2,59.315,0.6,56.34,46.4,-0.1988,0.6,0.6,0.2061,0.1335
LM,early,9/3/2019,21:40,1.2,1.2,1.2,59.056,0.6,54.561,46.8,-0.1988,0.6,0.6,0.2056,0.1317
LM,early,9/3/2019,21:50,1.2,1.2,1.2,58.798,0.6,53.472,49.1,-0.1988,0.6,0.6,0.2056,0.1317
LM,early,9/3/2019,22:00,1.2,1.2,1.2,58.541,0.6,53.776,49.2,-0.1988,0.6,0.6,0.2056,0.1317
LM,early,9/3/2019,22:10,1.2,1.2,1.2,58.282,0.6,52.203,51.4,-0.1988,0.6,0.6,0.2061,0.1317
LM,early,9/3/2019,22:20,1.2,1.2,1.2,58.023,0.6,52.817,52.6,-0.1988,0.6,0.6,0.2061,0.1317
LM,early,9/3/2019,22:30,1.2,1.2,1.2,57.807,0.6,53.472,52.2,-0.1988,0.6,0.6,0.2061,0.1317
LM,early,9/3/2019,22:40,1.2,1.2,1.2,57.592,0.6,54.865,49,-0.1988,0.6,0.6,0.2061,0.1317
LM,early,9/3/2019,22:50,1.2,1.2,1.2,57.42,0.6,55.472,49.5,-0.1988,0.6,0.6,0.2061,0.1321
LM,early,9/3/2019,23:00,1.2,1.2,1.2,57.29,0.6,53.559,52.5,-0.1988,0.6,0.6,0.2061,0.1317
LM,early,9/3/2019,23:10,1.2,1.2,1.2,57.16,0.6,52.554,56.5,-0.1988,0.6,0.6,0.2061,0.1317
LM,early,9/3/2019,23:20,1.2,1.2,1.2,56.988,0.6,51.589,56,-0.1988,0.6,0.6,0.2061,0.1317
LM,early,9/3/2019,23:30,1.2,1.2,1.2,56.901,0.6,50.092,62,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/3/2019,23:40,1.2,1.2,1.2,56.728,0.6,50.002,59.1,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/3/2019,23:50,1.2,1.2,1.2,56.556,0.6,49.87,60.6,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,0:00,1.2,1.2,1.2,56.383,0.6,51.017,62.1,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,0:10,1.2,1.2,1.2,56.251,0.6,51.37,57.2,-0.1988,0.6,0.6,0.2061,0.1312
LM,early,9/4/2019,0:20,1.2,1.2,1.2,56.122,0.6,51.325,59.2,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,0:30,1.2,1.2,1.2,55.992,0.6,51.062,61.5,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,0:40,1.2,1.2,1.2,55.906,0.6,52.597,57.4,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,0:50,1.2,1.2,1.2,55.819,0.6,52.203,59.2,-0.1988,0.6,0.6,0.2056,0.1317
LM,early,9/4/2019,1:00,1.2,1.2,1.2,55.733,0.6,50.841,59.6,-0.1988,0.6,0.6,0.2056,0.1317
LM,early,9/4/2019,1:10,1.2,1.2,1.2,55.602,0.6,49.782,61.4,-0.1988,0.6,0.6,0.2056,0.1317
LM,early,9/4/2019,1:20,1.2,1.2,1.2,55.515,0.6,49.649,61.1,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,1:30,1.2,1.2,1.2,55.342,0.6,48.805,64.5,-0.1988,0.6,0.6,0.2061,0.1312
LM,early,9/4/2019,1:40,1.2,1.2,1.2,55.213,0.6,48.137,66.2,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,1:50,1.2,1.2,1.2,55.081,0.6,50.445,60.9,-0.1988,0.6,0.6,0.2052,0.1312
LM,early,9/4/2019,2:00,1.2,1.2,1.2,54.909,0.6,50.356,63,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,2:10,1.2,1.2,1.2,54.82,0.6,49.737,66,-0.1988,0.6,0.6,0.2052,0.1312
LM,early,9/4/2019,2:20,1.2,1.2,1.2,54.734,0.6,50.621,63.8,-0.1988,0.6,0.6,0.2052,0.1312
LM,early,9/4/2019,2:30,1.2,1.2,1.2,54.691,0.6,50.621,62.1,-0.1988,0.6,0.6,0.2052,0.1312
LM,early,9/4/2019,2:40,1.2,1.2,1.2,54.604,0.6,50.18,65.2,-0.1988,0.6,0.6,0.2056,0.1317
LM,early,9/4/2019,2:50,1.2,1.2,1.2,54.561,0.6,50.135,64.5,-0.1988,0.6,0.6,0.2056,0.1317
LM,early,9/4/2019,3:00,1.2,1.2,1.2,54.473,0.6,51.282,61.9,-0.1988,0.6,0.6,0.2056,0.1317
LM,early,9/4/2019,3:10,1.2,1.2,1.2,54.43,0.6,51.764,61.7,-0.1988,0.6,0.6,0.2052,0.1317
LM,early,9/4/2019,3:20,1.2,1.2,1.2,54.387,0.6,52.203,60.7,-0.1988,0.6,0.6,0.2056,0.1317
LM,early,9/4/2019,3:30,1.2,1.2,1.2,54.343,0.6,51.984,62.5,-0.1988,0.6,0.6,0.2061,0.1312
LM,early,9/4/2019,3:40,1.2,1.2,1.2,54.3,0.6,51.895,62.9,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,3:50,1.2,1.2,1.2,54.3,0.6,50.268,67.6,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,4:00,1.2,1.2,1.2,54.212,0.6,51.589,64.2,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,4:10,1.2,1.2,1.2,54.212,0.6,51.017,67.3,-0.1988,0.6,0.6,0.2056,0.1317
LM,early,9/4/2019,4:20,1.2,1.2,1.2,54.169,0.6,49.959,68.7,-0.1988,0.6,0.6,0.2061,0.1312
LM,early,9/4/2019,4:30,1.2,1.2,1.2,54.126,0.6,49.561,70.6,-0.1988,0.6,0.6,0.2061,0.1312
LM,early,9/4/2019,4:40,1.2,1.2,1.2,54.082,0.6,50.223,69.1,-0.1988,0.6,0.6,0.2061,0.1312
LM,early,9/4/2019,4:50,1.2,1.2,1.2,54.037,0.6,49.737,71.2,-0.1988,0.6,0.6,0.2061,0.1312
LM,early,9/4/2019,5:00,1.2,1.2,1.2,53.951,0.6,50.488,70,-0.1988,0.6,0.6,0.2061,0.1312
LM,early,9/4/2019,5:10,1.2,1.2,1.2,53.865,0.6,50.709,71.1,-0.1988,0.6,0.6,0.2061,0.1312
LM,early,9/4/2019,5:20,1.2,1.2,1.2,53.865,0.6,49.028,74,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,5:30,1.2,1.2,1.2,53.776,0.6,48.538,74.6,-0.1988,0.6,0.6,0.2061,0.1312
LM,early,9/4/2019,5:40,1.2,1.2,1.2,53.69,0.6,47.334,75.4,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,5:50,1.2,1.2,1.2,53.602,0.6,47.244,77.6,-0.1988,0.6,0.6,0.2056,0.1317
LM,early,9/4/2019,6:00,1.2,1.2,1.2,53.515,0.6,47.736,78.9,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,6:10,1.2,1.2,1.2,53.384,0.6,47.602,78.1,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,6:20,1.2,1.2,1.2,53.298,0.6,48.094,78.4,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,6:30,1.2,1.2,1.2,53.166,0.6,48.628,78.5,-0.1988,0.6,0.6,0.2056,0.1312
LM,early,9/4/2019,6:40,6.2,1.2,1.2,53.121,0.6,47.914,80.4,-0.1988,1.9,0.6,0.2056,0.1312
LM,early,9/4/2019,6:50,16.2,1.2,1.2,53.078,0.6,47.377,81.4,-0.1988,6.9,0.6,0.2056,0.1317
LM,early,9/4/2019,7:00,23.7,1.2,1.2,52.992,0.6,46.841,82.1,-0.1988,8.1,0.6,0.2056,0.1312
LM,early,9/4/2019,7:10,41.2,1.2,1.2,52.947,1.9,45.444,84.3,-0.1988,15.6,1.9,0.2056,0.1312
LM,early,9/4/2019,7:20,71.2,1.2,1.2,52.817,6.9,46.391,84.6,-0.1988,33.1,4.4,0.2056,0.1312
LM,early,9/4/2019,7:30,121.2,3.7,3.7,52.772,11.9,48.36,82.6,-0.1988,64.4,9.4,0.2056,0.1312
LM,early,9/4/2019,7:40,111.2,3.7,3.7,52.729,9.4,50.533,78.4,-0.1988,58.1,8.1,0.2056,0.1312
LM,early,9/4/2019,7:50,131.2,3.7,3.7,52.729,10.6,51.458,77.4,-0.1988,69.4,9.4,0.2056,0.1317
LM,early,9/4/2019,8:00,133.7,3.7,3.7,52.729,10.6,52.16,75,-0.1988,69.4,9.4,0.2061,0.1312
