Plot Title: 9735540_SM_LSA_B1_ctrl,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735540, SEN S/N: 2012372, LBL: LSA_B1R)","Temp, °F (LGR S/N: 9735540, SEN S/N: 9680600, LBL: LSA_B1)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700883, LBL: LSA_B1R)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700893, LBL: LSA_B1L)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700882)","Temp, °F (LGR S/N: 9735540, SEN S/N: 9721335, LBL: LSA_B1L )","RH, % (LGR S/N: 9735540, SEN S/N: 9721335, LBL: LSA_B1L)","Voltage, V (LGR S/N: 9735540, SEN S/N: 9725488)","Current, mA (LGR S/N: 9735540, SEN S/N: 9725488)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734398, LBL: LSA_B1L)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734403, LBL: LSA_B1L)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734407, LBL: LSA_B1R)","Water Content, m³/m³ (LGR S/N: 9735540, SEN S/N: 10769153, LBL: LSA_B1R)"
Site,Treatment,Date.Time,SWC.right,ST,PAR.right,PAR.left,PAR.up,Air.T,RH,,,SR.left,SR.up,SR.right,SWC.between
LSA,control,8/26/2019 3:59,-0.0019,55.168,-888.9,1.2,1.2,54.82,42.8,-0.2039,0,0.6,0.6,0.6,-0.044
LSA,control,8/26/2019 4:09,-0.0026,55.125,-888.9,1.2,1.2,53.908,44.4,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 4:19,-0.0033,55.038,-888.9,1.2,1.2,53.602,45.4,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 4:29,-0.0026,54.995,-888.9,1.2,1.2,54.43,44.5,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 4:39,-0.0026,54.952,-888.9,1.2,1.2,53.82,45.5,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 4:49,-0.0019,54.909,-888.9,1.2,1.2,52.686,47.3,-0.2039,0,0.6,0.6,0.6,-0.044
LSA,control,8/26/2019 4:59,-0.0019,54.82,-888.9,1.2,1.2,53.427,45.9,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 5:09,-0.0019,54.734,-888.9,1.2,1.2,51.501,49,-0.2039,0,0.6,0.6,0.6,-0.044
LSA,control,8/26/2019 5:19,-0.0026,54.648,-888.9,1.2,1.2,51.062,49.7,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 5:29,-0.0026,54.561,-888.9,1.2,1.2,50.929,49.7,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 5:39,-0.0019,54.473,-888.9,1.2,1.2,50.268,50.9,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 5:49,-0.0033,54.343,-888.9,1.2,1.2,45.489,60.6,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/26/2019 5:59,-0.0033,54.212,-888.9,1.2,1.2,46.886,57.3,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/26/2019 6:09,-0.0026,54.037,-888.9,1.2,1.2,44.991,62.6,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 6:19,-0.0033,53.865,-888.9,1.2,1.2,42.755,66.9,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/26/2019 6:29,-0.0033,53.69,-888.9,1.2,1.2,42.892,69.8,-0.2039,0,0.6,3.1,0.6,-0.0455
LSA,control,8/26/2019 6:39,-0.0033,53.515,-888.9,1.2,1.2,43.122,67.6,-0.2039,0,0.6,5.6,0.6,-0.0462
LSA,control,8/26/2019 6:49,-0.0033,53.341,-888.9,1.2,1.2,44.764,64.2,-0.2039,0,0.6,9.4,0.6,-0.0455
LSA,control,8/26/2019 6:59,-0.0041,53.209,-888.9,1.2,1.2,44.764,64.4,-0.2039,0,0.6,11.9,0.6,-0.0462
LSA,control,8/26/2019 7:09,-0.0033,53.078,-888.9,1.2,1.2,47.019,60.6,-0.2039,0,0.6,14.4,0.6,-0.0462
LSA,control,8/26/2019 7:19,-0.0041,52.947,-888.9,1.2,1.2,45.399,64.7,-0.2039,0,0.6,15.6,0.6,-0.0462
LSA,control,8/26/2019 7:29,-0.0033,52.86,-888.9,1.2,1.2,45.036,66.1,-0.2039,0,1.9,18.1,0.6,-0.0462
LSA,control,8/26/2019 7:39,-0.0033,52.729,-888.9,1.2,1.2,47.377,60.3,-0.2039,0,1.9,19.4,0.6,-0.0462
LSA,control,8/26/2019 7:49,-0.0041,52.641,-888.9,1.2,1.2,49.561,53.8,-0.2039,0,1.9,20.6,0.6,-0.0462
LSA,control,8/26/2019 7:59,-0.0033,52.597,-888.9,1.2,1.2,47.871,58.8,-0.2039,0,1.9,23.1,0.6,-0.0447
LSA,control,8/26/2019 8:09,-0.0041,52.554,-888.9,1.2,1.2,49.649,54,-0.2039,0,1.9,24.4,1.9,-0.0462
LSA,control,8/26/2019 8:19,-0.0041,52.509,-888.9,1.2,1.2,50.002,52.3,-0.2039,0,3.1,26.9,1.9,-0.0462
LSA,control,8/26/2019 8:29,-0.0041,52.466,-888.9,1.2,1.2,51.458,49.4,-0.2039,0,3.1,29.4,1.9,-0.0462
LSA,control,8/26/2019 8:39,-0.0033,52.554,-888.9,33.7,1.2,60.346,38.4,-0.2039,0,90.6,311.9,60.6,-0.0455
LSA,control,8/26/2019 8:49,-0.0033,52.86,-888.9,33.7,1.2,64.074,38.5,-0.2039,0,93.1,350.6,64.4,-0.0455
LSA,control,8/26/2019 8:59,-0.0026,53.209,-888.9,36.2,1.2,64.503,32.9,-0.2039,0,96.9,388.1,68.1,-0.0447
LSA,control,8/26/2019 9:09,-0.0026,53.645,-888.9,38.7,1.2,66.301,31.3,-0.2039,0,100.6,428.1,71.9,-0.0455
LSA,control,8/26/2019 9:19,-0.0026,54.126,-888.9,41.2,1.2,66.729,32.6,-0.2039,0,103.1,465.6,74.4,-0.0447
LSA,control,8/26/2019 9:29,-0.0026,54.604,-888.9,41.2,1.2,69.256,31.7,-0.2039,0,106.9,504.4,78.1,-0.0447
LSA,control,8/26/2019 9:39,-0.0026,55.038,-888.9,43.7,1.2,69.343,30.1,-0.2039,0,109.4,540.6,80.6,-0.0447
LSA,control,8/26/2019 9:49,-0.0026,55.733,-888.9,46.2,1.2,72.955,26.7,-0.2039,0,111.9,575.6,83.1,-0.0447
LSA,control,8/26/2019 9:59,-0.0019,56.34,-888.9,46.2,1.2,71.49,27.5,-0.2039,0,114.4,610.6,85.6,-0.0447
LSA,control,8/26/2019 10:09,-0.0012,57.204,-888.9,48.7,1.2,72.739,24.6,-0.2039,0,118.1,646.9,88.1,-0.0433
LSA,control,8/26/2019 10:19,-0.0019,58.152,-888.9,51.2,6.2,74.034,25.1,-0.2039,0,120.6,679.4,90.6,-0.0447
LSA,control,8/26/2019 10:29,-0.0019,59.056,-888.9,53.7,13.7,74.034,26.1,-0.2039,0,121.9,708.1,91.9,-0.044
LSA,control,8/26/2019 10:39,-0.0012,60.089,-888.9,53.7,23.7,75.29,26.2,-0.2039,0,124.4,740.6,94.4,-0.0433
LSA,control,8/26/2019 10:49,-0.0012,61.162,-888.9,53.7,36.2,79.743,23.3,-0.2039,0,124.4,770.6,96.9,-0.044
LSA,control,8/26/2019 10:59,-0.0012,62.191,-888.9,56.2,43.7,75.724,26.8,-0.2039,0,129.4,800.6,99.4,-0.044
LSA,control,8/26/2019 11:09,-0.0004,63.133,-888.9,56.2,51.2,76.986,26.8,-0.2039,0,130.6,831.9,99.4,-0.0433
LSA,control,8/26/2019 11:19,-0.0004,64.117,-888.9,58.7,56.2,78.514,24,-0.2039,0,131.9,855.6,100.6,-0.0433
LSA,control,8/26/2019 11:29,-0.0004,65.017,-888.9,58.7,61.2,77.421,24.5,-0.2039,0,133.1,881.9,100.6,-0.0433
LSA,control,8/26/2019 11:39,0.0003,65.916,-888.9,63.7,66.2,78.69,22.2,-0.2039,0,133.1,900.6,99.4,-0.0426
LSA,control,8/26/2019 11:49,0.0003,66.686,-888.9,61.2,71.2,80.051,24.1,-0.2039,0,135.6,935.6,100.6,-0.0426
LSA,control,8/26/2019 11:59,0.001,67.5,-888.9,61.2,73.7,82.486,24.9,-0.2039,0,135.6,955.6,99.4,-0.0426
LSA,control,8/26/2019 12:09,0.001,68.099,-888.9,61.2,76.2,78.208,24.5,-0.2039,0,136.9,978.1,101.9,-0.0418
LSA,control,8/26/2019 12:19,0.0017,68.657,-888.9,63.7,81.2,76.246,25.7,-0.2039,0,136.9,1001.9,103.1,-0.0418
LSA,control,8/26/2019 12:29,0.001,69.042,-888.9,63.7,83.7,77.072,24.3,-0.2039,0,135.6,1016.9,103.1,-0.0418
LSA,control,8/26/2019 12:39,0.0017,69.427,-888.9,63.7,696.2,80.361,24.4,-0.2039,0,135.6,1038.1,103.1,-0.0426
LSA,control,8/26/2019 12:49,0.0017,69.858,-888.9,63.7,761.2,79.216,21.1,-0.2039,0,135.6,1059.4,103.1,-0.0418
LSA,control,8/26/2019 12:59,0.0017,70.115,-888.9,63.7,831.2,76.854,23.1,-0.2039,0,134.4,1060.6,105.6,-0.0411
LSA,control,8/26/2019 13:09,0.0017,70.286,-888.9,63.7,926.2,75.853,24,-0.2039,0,133.1,1068.1,103.1,-0.0426
LSA,control,8/26/2019 13:19,0.0017,70.372,-888.9,63.7,1058.7,77.16,22.6,-0.2039,0,134.4,1076.9,104.4,-0.0418
LSA,control,8/26/2019 13:29,0.001,70.543,-888.9,46.2,1133.7,80.008,21.9,-0.2039,0,96.9,780.6,74.4,-0.0418
LSA,control,8/26/2019 13:39,0.0017,70.587,-888.9,61.2,1198.7,83.779,22.4,-0.2039,0,131.9,1083.1,103.1,-0.0418
LSA,control,8/26/2019 13:49,0.0025,70.716,-888.9,61.2,1261.2,78.822,25.3,-0.2039,0,130.6,1075.6,101.9,-0.0411
LSA,control,8/26/2019 13:59,0.0017,70.803,-888.9,58.7,1326.2,75.724,24.2,-0.2039,0,124.4,1069.4,101.9,-0.0418
LSA,control,8/26/2019 14:09,0.0017,70.846,-888.9,58.7,1388.7,77.639,26.6,-0.2039,0,126.9,1069.4,100.6,-0.0411
LSA,control,8/26/2019 14:19,0.0017,71.017,-888.9,58.7,1426.2,81.466,21.3,-0.2039,0,121.9,1065.6,98.1,-0.0411
LSA,control,8/26/2019 14:29,0.0017,71.06,-888.9,58.7,1511.2,76.289,25.2,-0.2039,0,124.4,1073.1,100.6,-0.0411
LSA,control,8/26/2019 14:39,0.0017,71.146,-888.9,56.2,1568.7,79.612,23.7,-0.2039,0,119.4,1040.6,96.9,-0.0404
LSA,control,8/26/2019 14:49,0.001,71.317,-888.9,56.2,1623.7,83.736,22.7,-0.2039,0,108.1,1028.1,94.4,-0.0411
LSA,control,8/26/2019 14:59,0.0017,71.404,-888.9,53.7,1681.2,79.261,22.5,-0.2039,0,115.6,1006.9,93.1,-0.0404
LSA,control,8/26/2019 15:09,0.0025,71.404,-888.9,53.7,1726.2,75.985,24.7,-0.2039,0,114.4,991.9,93.1,-0.0404
LSA,control,8/26/2019 15:19,0.0017,71.404,-888.9,51.2,1771.2,76.203,23.9,-0.2039,0,105.6,958.1,89.4,-0.0404
LSA,control,8/26/2019 15:29,0.0017,71.361,-888.9,51.2,1823.7,75.029,26.6,-0.2039,0,106.9,935.6,88.1,-0.0404
LSA,control,8/26/2019 15:39,0.0025,71.404,-888.9,48.7,1868.7,76.419,24.1,-0.2039,0,94.4,910.6,85.6,-0.0404
LSA,control,8/26/2019 15:49,0.0017,71.404,-888.9,48.7,1913.7,77.902,24.1,-0.2039,0,100.6,883.1,83.1,-0.0397
LSA,control,8/26/2019 15:59,0.0017,71.317,-888.9,46.2,1933.7,73.861,27.6,-0.2039,0,96.9,859.4,81.9,-0.0404
LSA,control,8/26/2019 16:09,0.0025,71.19,-888.9,43.7,2006.2,74.467,26.2,-0.2039,0,94.4,830.6,78.1,-0.0397
LSA,control,8/26/2019 16:19,0.0017,71.103,-888.9,43.7,2111.2,74.12,26.8,-0.2039,0,89.4,799.4,75.6,-0.0397
LSA,control,8/26/2019 16:29,0.0017,70.974,-888.9,41.2,2121.2,73.774,25.4,-0.2039,0,86.9,766.9,71.9,-0.0397
LSA,control,8/26/2019 16:39,0.0017,70.803,-888.9,38.7,406.2,73.213,25.1,-0.2039,0,83.1,734.4,68.1,-0.0404
LSA,control,8/26/2019 16:49,0.0017,70.543,-888.9,36.2,731.2,72.955,26.1,-0.2039,0,80.6,701.9,64.4,-0.0397
LSA,control,8/26/2019 16:59,0.0017,70.329,-888.9,36.2,391.2,73.04,25.6,-0.2039,0,78.1,670.6,61.9,-0.0404
LSA,control,8/26/2019 17:09,0.001,70.115,-888.9,33.7,2491.2,73.083,25.8,-0.2039,0,75.6,638.1,58.1,-0.0411
LSA,control,8/26/2019 17:19,0.0017,69.814,-888.9,31.2,418.7,73.342,27.8,-0.2039,0,71.9,595.6,55.6,-0.0404
LSA,control,8/26/2019 17:29,0.0017,69.557,-888.9,28.7,501.2,75.16,27.2,-0.2039,0,70.6,558.1,53.1,-0.0404
LSA,control,8/26/2019 17:39,0.001,69.3,-888.9,28.7,601.2,72.05,27.2,-0.2039,0,66.9,525.6,51.9,-0.0411
LSA,control,8/26/2019 17:49,0.0017,69.042,-888.9,26.2,601.2,71.704,27.7,-0.2039,0,65.6,486.9,49.4,-0.0404
LSA,control,8/26/2019 17:59,0.001,68.742,-888.9,23.7,496.2,72.007,27.7,-0.2039,0,61.9,448.1,46.9,-0.0411
LSA,control,8/26/2019 18:09,0.001,68.443,-888.9,21.2,443.7,67.456,27.8,-0.2039,0,51.9,409.4,43.1,-0.0404
LSA,control,8/26/2019 18:19,0.001,68.099,-888.9,16.2,738.7,67.671,30.3,-0.2039,0,49.4,363.1,39.4,-0.0418
LSA,control,8/26/2019 18:29,-0.0004,67.798,-888.9,13.7,2496.2,64.974,33.7,-0.2039,0,44.4,323.1,35.6,-0.0418
LSA,control,8/26/2019 18:39,-0.0004,67.456,-888.9,13.7,2536.2,63.005,35.8,-0.2039,0,39.4,279.4,30.6,-0.0426
LSA,control,8/26/2019 18:49,-0.0004,67.071,-888.9,1.2,2553.7,56.035,42.3,-0.2039,0,4.4,28.1,3.1,-0.0426
LSA,control,8/26/2019 18:59,0.0003,66.643,-888.9,1.2,668.7,55.647,38,-0.2039,0,3.1,23.1,1.9,-0.0426
LSA,control,8/26/2019 19:09,-0.0004,66.258,-888.9,1.2,1773.7,56.858,33.8,-0.2039,0,1.9,20.6,1.9,-0.0426
LSA,control,8/26/2019 19:19,-0.0004,65.829,-888.9,1.2,1978.7,55.299,38,-0.2039,0,1.9,16.9,0.6,-0.0426
LSA,control,8/26/2019 19:29,-0.0004,65.403,-888.9,1.2,1896.2,52.686,45.1,-0.2039,0,0.6,13.1,0.6,-0.0433
LSA,control,8/26/2019 19:39,-0.0004,64.974,-888.9,1.2,1868.7,50.002,47.1,-0.2039,0,0.6,8.1,0.6,-0.0433
LSA,control,8/26/2019 19:49,-0.0012,64.546,-888.9,1.2,1828.7,48.983,49.1,-0.2039,0,0.6,3.1,0.6,-0.0433
LSA,control,8/26/2019 19:59,-0.0012,64.117,-888.9,1.2,1816.2,46.391,59.3,-0.2039,0,0.6,0.6,0.6,-0.0433
LSA,control,8/26/2019 20:09,-0.0012,63.689,-888.9,1.2,1776.2,45.851,52.9,-0.2039,0,0.6,0.6,0.6,-0.044
LSA,control,8/26/2019 20:19,-0.0012,63.219,-888.9,1.2,1751.2,47.019,50.6,-0.2039,0,0.6,0.6,0.6,-0.044
LSA,control,8/26/2019 20:29,-0.0019,62.834,-888.9,1.2,1691.2,45.354,54.7,-0.2039,0,0.6,0.6,0.6,-0.044
LSA,control,8/26/2019 20:39,-0.0019,62.406,-888.9,1.2,1556.2,44.719,56.5,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 20:49,-0.0019,62.019,-888.9,1.2,1463.7,42.8,59.7,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 20:59,-0.0019,61.59,-888.9,1.2,1523.7,43.443,58.7,-0.2039,0,0.6,0.6,0.6,-0.044
LSA,control,8/26/2019 21:09,-0.0026,61.205,-888.9,1.2,1216.2,43.122,58.3,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 21:19,-0.0019,60.818,-888.9,1.2,1431.2,41.693,60.7,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 21:29,-0.0019,60.474,-888.9,1.2,1313.7,43.075,56.7,-0.2039,0,0.6,0.6,0.6,-0.044
LSA,control,8/26/2019 21:39,-0.0019,60.089,-888.9,1.2,1183.7,41.23,60.1,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 21:49,-0.0019,59.745,-888.9,1.2,1118.7,43.624,54.7,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/26/2019 21:59,-0.0019,59.401,-888.9,1.2,1036.2,43.579,54.6,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 22:09,-0.0026,59.099,-888.9,1.2,971.2,43.671,54.1,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 22:19,-0.0026,58.755,-888.9,1.2,891.2,42.202,56.4,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 22:29,-0.0026,58.455,-888.9,1.2,801.2,40.579,62.3,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 22:39,-0.0019,58.152,-888.9,1.2,203.7,40.017,66,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 22:49,-0.0026,57.85,-888.9,1.2,276.2,41.463,58.6,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 22:59,-0.0026,57.549,-888.9,1.2,366.2,40.392,61.8,-0.2039,0,0.6,0.6,0.6,-0.0447
LSA,control,8/26/2019 23:09,-0.0026,57.29,-888.9,1.2,513.7,41.043,59.6,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/26/2019 23:19,-0.0033,57.031,-888.9,1.2,298.7,38.842,63,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/26/2019 23:29,-0.0026,56.728,-888.9,1.2,93.7,40.532,61.3,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/26/2019 23:39,-0.0026,56.469,-888.9,1.2,71.2,39.69,61.2,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/26/2019 23:49,-0.0026,56.208,-888.9,1.2,53.7,39.596,62.2,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/26/2019 23:59,-0.0033,55.992,-888.9,1.2,41.2,39.407,62.3,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/27/2019 0:09,-0.0033,55.733,-888.9,1.2,28.7,39.407,62.7,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/27/2019 0:19,-0.0033,55.472,-888.9,1.2,13.7,40.298,59.7,-0.2039,0,0.6,0.6,0.6,-0.0462
LSA,control,8/27/2019 0:29,-0.0033,55.256,-888.9,1.2,3.7,39.267,63.1,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/27/2019 0:39,-0.0033,55.038,-888.9,1.2,1.2,40.158,61.3,-0.2039,0,0.6,0.6,0.6,-0.0455
LSA,control,8/27/2019 0:49,-0.0033,54.82,-888.9,1.2,1.2,38.557,65.4,-0.2039,0,0.6,0.6,0.6,-0.0462
LSA,control,8/27/2019 0:59,-0.0041,54.604,-888.9,1.2,1.2,39.596,61.9,-0.2039,0,0.6,0.6,0.6,-0.0462
LSA,control,8/27/2019 1:09,-0.0041,54.387,-888.9,1.2,1.2,39.924,61.1,-0.2039,0,0.6,0.6,0.6,-0.0462
LSA,control,8/27/2019 1:19,-0.0041,54.169,-888.9,1.2,1.2,38.131,65.1,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 1:29,-0.0041,53.951,-888.9,1.2,1.2,38.084,66.3,-0.2039,0,0.6,0.6,0.6,-0.0462
LSA,control,8/27/2019 1:39,-0.0033,53.776,-888.9,1.2,1.2,39.596,62.5,-0.2039,0,0.6,0.6,0.6,-0.0462
LSA,control,8/27/2019 1:49,-0.0041,53.559,-888.9,1.2,1.2,39.267,63.1,-0.2039,0,0.6,0.6,0.6,-0.0462
LSA,control,8/27/2019 1:59,-0.0041,53.384,-888.9,1.2,1.2,39.124,63.3,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 2:09,-0.0041,53.209,-888.9,1.2,1.2,38.557,64.1,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 2:19,-0.0041,52.992,-888.9,1.2,1.2,38.179,64.4,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 2:29,-0.0041,52.817,-888.9,1.2,1.2,38.037,64.6,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 2:39,-0.0048,52.641,-888.9,1.2,1.2,39.36,61.4,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 2:49,-0.0041,52.466,-888.9,1.2,1.2,38.653,60.9,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 2:59,-0.0048,52.291,-888.9,1.2,1.2,37.798,64.2,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 3:09,-0.0048,52.115,-888.9,1.2,1.2,36.698,65.6,-0.2039,0,0.6,0.6,0.6,-0.0462
LSA,control,8/27/2019 3:19,-0.0048,51.94,-888.9,1.2,1.2,36.025,69.1,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 3:29,-0.0041,51.764,-888.9,1.2,1.2,35.733,68.7,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 3:39,-0.0048,51.589,-888.9,1.2,1.2,35.152,70.2,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 3:49,-0.0048,51.413,-888.9,1.2,1.2,34.174,71.9,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 3:59,-0.0041,51.193,-888.9,1.2,1.2,34.371,71.3,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 4:09,-0.0048,51.017,-888.9,1.2,1.2,34.124,70.8,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 4:19,-0.0048,50.841,-888.9,1.2,1.2,34.371,71.4,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 4:29,-0.0048,50.664,-888.9,1.2,1.2,35.346,67.9,-0.2039,0,0.6,0.6,0.6,-0.0476
LSA,control,8/27/2019 4:39,-0.0048,50.488,-888.9,1.2,1.2,34.761,69.4,-0.2039,0,0.6,0.6,0.6,-0.0476
LSA,control,8/27/2019 4:49,-0.0048,50.311,-888.9,1.2,1.2,34.615,69.8,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 4:59,-0.0055,50.135,-888.9,1.2,1.2,33.584,71.4,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 5:09,-0.0055,49.959,-888.9,1.2,1.2,34.32,70.6,-0.2039,0,0.6,0.6,0.6,-0.0476
LSA,control,8/27/2019 5:19,-0.0055,49.782,-888.9,1.2,1.2,33.534,69.9,-0.2039,0,0.6,0.6,0.6,-0.0469
LSA,control,8/27/2019 5:29,-0.0055,49.649,-888.9,1.2,1.2,33.287,71.2,-0.2039,0,0.6,0.6,0.6,-0.0476
LSA,control,8/27/2019 5:39,-0.0055,49.471,-888.9,1.2,1.2,34.32,69.6,-0.2039,0,0.6,0.6,0.6,-0.0484
LSA,control,8/27/2019 5:49,-0.0055,49.294,-888.9,1.2,1.2,33.237,71.6,-0.2039,0,0.6,0.6,0.6,-0.0476
LSA,control,8/27/2019 5:59,-0.0055,49.116,-888.9,1.2,1.2,33.534,71.5,-0.2039,0,0.6,0.6,0.6,-0.0484
LSA,control,8/27/2019 6:09,-0.0055,48.983,-888.9,1.2,1.2,33.633,70.7,-0.2039,0,0.6,0.6,0.6,-0.0484
LSA,control,8/27/2019 6:19,-0.0055,48.805,-888.9,1.2,1.2,35.103,67.2,-0.2039,0,0.6,0.6,0.6,-0.0484
LSA,control,8/27/2019 6:29,-0.0055,48.672,-888.9,1.2,1.2,34.858,67,-0.2039,0,0.6,1.9,0.6,-0.0476
LSA,control,8/27/2019 6:39,-0.0062,48.538,-888.9,1.2,1.2,34.174,67.9,-0.2039,0,0.6,5.6,0.6,-0.0484
LSA,control,8/27/2019 6:49,-0.0055,48.405,-888.9,1.2,1.2,34.272,66.6,-0.2039,0,0.6,8.1,0.6,-0.0484
LSA,control,8/27/2019 6:59,-0.0055,48.272,-888.9,1.2,1.2,33.336,70,-0.2039,0,0.6,11.9,0.6,-0.0476
LSA,control,8/27/2019 7:09,-0.0055,48.137,-888.9,1.2,1.2,34.174,69.6,-0.2039,0,0.6,14.4,0.6,-0.0484
LSA,control,8/27/2019 7:19,-0.0055,48.049,-888.9,1.2,1.2,35.928,65.6,-0.2039,0,0.6,15.6,0.6,-0.0484
LSA,control,8/27/2019 7:29,-0.0062,47.959,-888.9,1.2,1.2,37.274,62.2,-0.2039,0,1.9,18.1,0.6,-0.0484
LSA,control,8/27/2019 7:39,-0.0055,47.826,-888.9,1.2,1.2,34.713,70.2,-0.2039,0,1.9,19.4,0.6,-0.0484
LSA,control,8/27/2019 7:49,-0.0062,47.736,-888.9,1.2,1.2,34.516,73.4,-0.2039,0,1.9,20.6,0.6,-0.0484
LSA,control,8/27/2019 7:59,-0.0055,47.691,-888.9,1.2,1.2,35.006,74.1,-0.2039,0,1.9,23.1,0.6,-0.0476
LSA,control,8/27/2019 8:09,-0.0062,47.602,-888.9,1.2,1.2,36.12,71.7,-0.2039,0,1.9,24.4,1.9,-0.0484
LSA,control,8/27/2019 8:19,-0.0062,47.557,-888.9,1.2,1.2,35.006,76.2,-0.2039,0,3.1,26.9,1.9,-0.0484
LSA,control,8/27/2019 8:29,-0.0062,47.467,-888.9,1.2,1.2,36.361,73.4,-0.2039,0,3.1,29.4,1.9,-0.0476
LSA,control,8/27/2019 8:39,-0.0062,47.557,-888.9,33.7,1.2,53.035,48,-0.2039,0,90.6,316.9,63.1,-0.0484
LSA,control,8/27/2019 8:49,-0.0062,47.914,-888.9,33.7,1.2,61.547,37,-0.2039,0,95.6,356.9,66.9,-0.0484
LSA,control,8/27/2019 8:59,-0.0055,48.405,-888.9,36.2,1.2,65.403,34.9,-0.2039,0,99.4,396.9,70.6,-0.0476
LSA,control,8/27/2019 9:09,-0.0055,49.028,-888.9,38.7,1.2,67.199,30.3,-0.2039,0,103.1,436.9,73.1,-0.0476
LSA,control,8/27/2019 9:19,-0.0055,49.737,-888.9,38.7,1.2,68.956,33.2,-0.2039,0,106.9,475.6,75.6,-0.0476
LSA,control,8/27/2019 9:29,-0.0048,50.445,-888.9,41.2,1.2,72.136,27.1,-0.2039,0,108.1,513.1,79.4,-0.0476
LSA,control,8/27/2019 9:39,-0.0041,51.105,-888.9,43.7,1.2,72.61,24.6,-0.2039,0,113.1,553.1,81.9,-0.0469
LSA,control,8/27/2019 9:49,-0.0041,51.94,-888.9,46.2,1.2,72.739,20.8,-0.2039,0,114.4,588.1,84.4,-0.0469
