"Plot Title: 2021997"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 2021997, SEN S/N: 2373627)","Temp, °F (LGR S/N: 2021997, SEN S/N: 9721342)","RH, % (LGR S/N: 2021997, SEN S/N: 9721342)","Water Content, m³/m³ (LGR S/N: 2021997, SEN S/N: 20152222)"
284,05/27/18 09:33:01 AM,48.182,58.582,24.500,0.1859
285,05/27/18 10:33:01 AM,53.298,61.848,20.300,0.1843
286,05/27/18 11:33:01 AM,57.850,64.674,16.600,0.1826
287,05/27/18 12:33:01 PM,61.633,68.527,20.400,0.1807
288,05/27/18 01:33:01 PM,64.332,67.543,14.000,0.1807
289,05/27/18 02:33:01 PM,66.515,68.484,19.300,0.1807
290,05/27/18 03:33:01 PM,67.413,68.356,20.100,0.1816
291,05/27/18 04:33:01 PM,66.729,65.444,19.600,0.1816
292,05/27/18 05:33:01 PM,65.102,64.760,21.200,0.1826
293,05/27/18 06:33:01 PM,62.962,59.185,23.200,0.1820
294,05/27/18 07:33:01 PM,60.647,52.335,31.900,0.1830
295,05/27/18 08:33:01 PM,58.368,46.121,39.400,0.1836
296,05/27/18 09:33:01 PM,56.208,43.624,37.500,0.1836
297,05/27/18 10:33:01 PM,54.212,36.603,55.600,0.1836
298,05/27/18 11:33:01 PM,52.423,37.179,50.700,0.1836
299,05/28/18 12:33:01 AM,50.886,36.313,51.500,0.1836
300,05/28/18 01:33:01 AM,49.561,36.986,47.200,0.1836
301,05/28/18 02:33:01 AM,48.360,34.027,54.100,0.1830
302,05/28/18 03:33:01 AM,47.199,33.287,57.300,0.1813
303,05/28/18 04:33:01 AM,46.166,31.892,60.000,0.1807
304,05/28/18 05:33:01 AM,45.217,30.884,61.500,0.1807
305,05/28/18 06:33:01 AM,44.310,30.376,65.700,0.1813
306,05/28/18 07:33:01 AM,43.671,31.289,65.500,0.1816
307,05/28/18 08:33:01 AM,44.127,47.512,46.200,0.1816
308,05/28/18 09:33:01 AM,48.450,57.204,27.300,0.1813
309,05/28/18 10:33:01 AM,52.509,59.486,29.700,0.1803
310,05/28/18 11:33:01 AM,55.213,54.082,30.100,0.1789
311,05/28/18 12:33:01 PM,57.160,53.166,30.800,0.1775
312,05/28/18 01:33:01 PM,59.659,61.547,26.500,0.1762
313,05/28/18 02:33:01 PM,62.276,60.904,28.600,0.1756
314,05/28/18 03:33:01 PM,64.204,61.462,27.000,0.1762
315,05/28/18 04:33:01 PM,63.903,53.427,30.900,0.1765
316,05/28/18 05:33:01 PM,62.362,53.690,30.400,0.1769
317,05/28/18 06:33:01 PM,60.904,50.135,42.400,0.1769
318,05/28/18 07:33:01 PM,59.056,47.289,43.400,0.1775
319,05/28/18 08:33:01 PM,57.074,43.763,48.200,0.1775
320,05/28/18 09:33:01 PM,55.125,43.534,50.700,0.1779
321,05/28/18 10:33:01 PM,53.427,39.360,61.600,0.1775
322,05/28/18 11:33:01 PM,51.895,35.103,74.800,0.1779
323,05/29/18 12:33:01 AM,50.533,33.039,77.800,0.1775
324,05/29/18 01:33:01 AM,49.294,32.092,79.300,0.1775
325,05/29/18 02:33:01 AM,48.049,31.491,79.800,0.1775
326,05/29/18 03:33:01 AM,46.974,29.764,83.900,0.1775
327,05/29/18 04:33:01 AM,45.986,30.072,84.800,0.1779
328,05/29/18 05:33:01 AM,45.127,29.046,85.100,0.1779
329,05/29/18 06:33:01 AM,44.355,29.662,86.700,0.1783
330,05/29/18 07:33:01 AM,43.808,30.072,87.000,0.1783
331,05/29/18 08:33:01 AM,44.355,49.959,57.900,0.1779
332,05/29/18 09:33:01 AM,48.672,53.472,47.200,0.1775
333,05/29/18 10:33:01 AM,53.078,56.469,44.000,0.1762
334,05/29/18 11:33:01 AM,57.376,50.709,45.700,0.1746
335,05/29/18 12:33:01 PM,59.830,49.073,46.700,0.1732
336,05/29/18 01:33:01 PM,61.248,59.142,37.500,0.1724
337,05/29/18 02:33:01 PM,63.946,61.462,40.200,0.1718
338,05/29/18 03:33:01 PM,64.074,55.776,44.500,0.1724
339,05/29/18 04:33:01 PM,62.748,53.645,44.600,0.1728
340,05/29/18 05:33:01 PM,61.419,58.755,39.900,0.1728
341,05/29/18 06:33:01 PM,59.873,53.645,42.200,0.1728
342,05/29/18 07:33:01 PM,57.979,46.706,56.900,0.1732
343,05/29/18 08:33:01 PM,55.992,40.345,69.000,0.1728
344,05/29/18 09:33:01 PM,54.037,36.747,76.300,0.1728
345,05/29/18 10:33:01 PM,52.378,36.939,75.300,0.1724
346,05/29/18 11:33:01 PM,50.929,35.733,78.900,0.1724
347,05/30/18 12:33:01 AM,49.692,34.174,80.200,0.1724
348,05/30/18 01:33:01 AM,48.538,33.534,81.800,0.1724
349,05/30/18 02:33:01 AM,47.512,34.174,80.700,0.1724
350,05/30/18 03:33:01 AM,46.616,32.491,83.500,0.1724
351,05/30/18 04:33:01 AM,45.761,32.542,83.700,0.1724
352,05/30/18 05:33:01 AM,44.991,30.884,86.500,0.1728
353,05/30/18 06:33:01 AM,44.310,32.691,84.400,0.1728
354,05/30/18 07:33:01 AM,43.853,33.336,85.900,0.1732
355,05/30/18 08:33:01 AM,44.492,52.378,60.100,0.1732
356,05/30/18 09:33:01 AM,49.428,59.788,39.300,0.1724
357,05/30/18 10:33:01 AM,54.909,58.455,37.800,0.1714
358,05/30/18 11:33:01 AM,59.099,64.033,34.000,0.1695
359,05/30/18 12:33:01 PM,62.962,61.848,36.700,0.1681
360,05/30/18 01:33:01 PM,65.701,59.014,34.400,0.1671
361,05/30/18 02:33:01 PM,67.199,60.046,31.700,0.1671
362,05/30/18 03:33:01 PM,66.130,57.333,39.400,0.1677
363,05/30/18 04:33:01 PM,63.347,43.351,72.900,0.1689
364,05/30/18 05:33:01 PM,59.702,40.017,86.800,0.1793
365,05/30/18 06:33:01 PM,57.160,43.763,84.800,0.1765
366,05/30/18 07:33:01 PM,55.863,42.109,88.200,0.1752
367,05/30/18 08:33:01 PM,54.082,37.702,91.300,0.1746
368,05/30/18 09:33:01 PM,52.246,35.928,91.800,0.1746
369,05/30/18 10:33:01 PM,50.533,34.419,92.400,0.1746
370,05/30/18 11:33:01 PM,49.073,34.320,92.600,0.1746
371,05/31/18 12:33:01 AM,47.826,33.633,92.800,0.1746
372,05/31/18 01:33:01 AM,46.706,33.435,92.700,0.1746
373,05/31/18 02:33:01 AM,45.851,33.237,92.700,0.1746
374,05/31/18 03:33:01 AM,44.991,32.641,92.600,0.1746
375,05/31/18 04:33:01 AM,44.173,32.092,92.900,0.1752
376,05/31/18 05:33:01 AM,43.396,32.342,93.000,0.1742
377,05/31/18 06:33:01 AM,42.847,32.891,92.800,0.1742
378,05/31/18 07:33:01 AM,42.478,33.928,92.900,0.1756
379,05/31/18 08:33:01 AM,43.030,48.405,81.600,0.1752
380,05/31/18 09:33:01 AM,48.315,56.685,64.400,0.1752
381,05/31/18 10:33:01 AM,54.082,59.873,51.600,0.1742
382,05/31/18 11:33:01 AM,58.626,60.517,42.100,0.1724
383,05/31/18 12:33:01 PM,61.891,64.803,33.400,0.1709
384,05/31/18 01:33:01 PM,64.760,68.742,27.600,0.1689
385,05/31/18 02:33:01 PM,66.429,68.227,27.600,0.1695
386,05/31/18 03:33:01 PM,67.285,69.514,28.300,0.1699
387,05/31/18 04:33:01 PM,66.729,67.028,24.800,0.1703
388,05/31/18 05:33:01 PM,64.974,65.658,19.000,0.1709
389,05/31/18 06:33:01 PM,62.661,60.861,23.600,0.1742
390,05/31/18 07:33:01 PM,60.174,50.311,40.300,0.1709
391,05/31/18 08:33:01 PM,57.765,45.307,37.500,0.1709
392,05/31/18 09:33:01 PM,55.515,42.847,43.400,0.1718
