Plot Title: 9735551_SM_LSA_B2_trmt,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700882)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700889)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700899)","Temp, °F (LGR S/N: 9735551, SEN S/N: 9719154)","Temp, °F (LGR S/N: 9735551, SEN S/N: 9721332)","RH, % (LGR S/N: 9735551, SEN S/N: 9721332)","Voltage, V (LGR S/N: 9735551, SEN S/N: 9725502)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734411)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734415)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734419)","Water Content, m³/m³ (LGR S/N: 9735551, SEN S/N: 10769151)","Water Content, m³/m³ (LGR S/N: 9735551, SEN S/N: 10769152)","Batt, V (LGR S/N: 9735551)"
Site,Treatment,Date.Time,PAR.up,PAR.right,PAR.left,ST.between,Air.T,RH,,SR.up,SR.right,SR.left,SWC.between,SWC.between,
LSA,early,9/4/2019 18:10,138.7,1.2,1.2,67.242,59.272,53.8,-0.1988,46.9,1.9,3.1,0.0235,0.0322,4.381
LSA,early,9/4/2019 18:20,246.2,3.7,3.7,66.9,56.685,58.8,-0.1988,116.9,5.6,8.1,0.0235,0.0315,4.381
LSA,early,9/4/2019 18:30,136.2,3.7,3.7,66.515,56.642,61,-0.1988,59.4,4.4,4.4,0.0235,0.0315,4.369
LSA,early,9/4/2019 18:40,133.7,3.7,3.7,66.13,55.299,65.7,-0.1988,60.6,4.4,4.4,0.0235,0.0315,4.381
LSA,early,9/4/2019 18:50,66.2,1.2,1.2,65.788,53.733,67,-0.1988,26.9,0.6,1.9,0.0228,0.0315,4.375
LSA,early,9/4/2019 19:00,66.2,1.2,1.2,65.403,52.817,68.3,-0.1988,28.1,0.6,1.9,0.0235,0.0315,4.393
LSA,early,9/4/2019 19:10,46.2,1.2,1.2,64.974,50.886,72.6,-0.1988,18.1,0.6,0.6,0.0235,0.0315,4.381
LSA,early,9/4/2019 19:20,26.2,1.2,1.2,64.589,49.383,76.8,-0.1988,8.1,0.6,0.6,0.0235,0.0315,4.381
LSA,early,9/4/2019 19:30,11.2,1.2,1.2,64.117,47.154,81.4,-0.1988,4.4,0.6,0.6,0.0235,0.0308,4.369
LSA,early,9/4/2019 19:40,3.7,1.2,1.2,63.648,47.154,81.9,-0.1988,0.6,0.6,0.6,0.0235,0.0308,4.369
LSA,early,9/4/2019 19:50,1.2,1.2,1.2,63.176,45.806,82.3,-0.1988,0.6,0.6,0.6,0.0235,0.0308,4.369
LSA,early,9/4/2019 20:00,1.2,1.2,1.2,62.748,44.719,84.4,-0.1988,0.6,0.6,0.6,0.0235,0.0308,4.369
LSA,early,9/4/2019 20:10,1.2,1.2,1.2,62.276,44.173,86,-0.1988,0.6,0.6,0.6,0.0235,0.0301,4.393
LSA,early,9/4/2019 20:20,1.2,1.2,1.2,61.804,43.488,86.4,-0.1988,0.6,0.6,0.6,0.0235,0.0301,4.363
LSA,early,9/4/2019 20:30,1.2,1.2,1.2,61.376,42.57,86.3,-0.1988,0.6,0.6,0.6,0.0235,0.0301,4.363
LSA,early,9/4/2019 20:40,1.2,1.2,1.2,60.948,43.167,86,-0.1988,0.6,0.6,0.6,0.0228,0.0301,4.363
LSA,early,9/4/2019 20:50,1.2,1.2,1.2,60.561,42.663,86.9,-0.1988,0.6,0.6,0.6,0.0228,0.0301,4.363
LSA,early,9/4/2019 21:00,1.2,1.2,1.2,60.174,42.525,86.2,-0.1988,0.6,0.6,0.6,0.0228,0.0301,4.363
LSA,early,9/4/2019 21:10,1.2,1.2,1.2,59.788,42.017,86.8,-0.1988,0.6,0.6,0.6,0.0228,0.0301,4.363
LSA,early,9/4/2019 21:20,1.2,1.2,1.2,59.445,42.984,85.4,-0.1988,0.6,0.6,0.6,0.0228,0.0301,4.363
LSA,early,9/4/2019 21:30,1.2,1.2,1.2,59.099,42.202,87.5,-0.1988,0.6,0.6,0.6,0.0228,0.0301,4.363
LSA,early,9/4/2019 21:40,1.2,1.2,1.2,58.798,44.627,85.2,-0.1988,0.6,0.6,0.6,0.0228,0.0301,4.363
LSA,early,9/4/2019 21:50,1.2,1.2,1.2,58.582,46.301,81.5,-0.1988,0.6,0.6,0.6,0.0228,0.0301,4.363
LSA,early,9/4/2019 22:00,1.2,1.2,1.2,58.368,47.602,79.2,-0.1988,0.6,0.6,0.6,0.0228,0.0293,4.363
LSA,early,9/4/2019 22:10,1.2,1.2,1.2,58.239,48.227,78.4,-0.1988,0.6,0.6,0.6,0.0228,0.0293,4.381
LSA,early,9/4/2019 22:20,1.2,1.2,1.2,58.109,48.137,78.4,-0.1988,0.6,0.6,0.6,0.0228,0.0293,4.363
LSA,early,9/4/2019 22:30,1.2,1.2,1.2,58.023,48.094,79.1,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.357
LSA,early,9/4/2019 22:40,1.2,1.2,1.2,57.893,48.227,79.6,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.351
LSA,early,9/4/2019 22:50,1.2,1.2,1.2,57.807,48.227,78.9,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.351
LSA,early,9/4/2019 23:00,1.2,1.2,1.2,57.679,48.182,79.1,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.351
LSA,early,9/4/2019 23:10,1.2,1.2,1.2,57.592,47.959,79.5,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.351
LSA,early,9/4/2019 23:20,1.2,1.2,1.2,57.506,46.931,80.9,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.351
LSA,early,9/4/2019 23:30,1.2,1.2,1.2,57.376,46.076,83.2,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.351
LSA,early,9/4/2019 23:40,1.2,1.2,1.2,57.247,46.841,82.2,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.351
LSA,early,9/4/2019 23:50,1.2,1.2,1.2,57.117,47.377,81.5,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.351
LSA,early,9/5/2019 0:00,1.2,1.2,1.2,56.988,46.974,81.2,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.351
LSA,early,9/5/2019 0:10,1.2,1.2,1.2,56.901,46.211,82.2,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.351
LSA,early,9/5/2019 0:20,1.2,1.2,1.2,56.728,46.886,82,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.351
LSA,early,9/5/2019 0:30,1.2,1.2,1.2,56.599,46.706,82,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.351
LSA,early,9/5/2019 0:40,1.2,1.2,1.2,56.512,47.064,81.4,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.351
LSA,early,9/5/2019 0:50,1.2,1.2,1.2,56.426,47.199,80.7,-0.1988,0.6,0.6,0.6,0.0221,0.0279,4.351
LSA,early,9/5/2019 1:00,1.2,1.2,1.2,56.295,46.841,80.8,-0.1988,0.6,0.6,0.6,0.0214,0.0286,4.351
LSA,early,9/5/2019 1:10,1.2,1.2,1.2,56.208,46.616,81.6,-0.1988,0.6,0.6,0.6,0.0221,0.0279,4.345
LSA,early,9/5/2019 1:20,1.2,1.2,1.2,56.079,46.346,81.9,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.351
LSA,early,9/5/2019 1:30,1.2,1.2,1.2,55.949,46.796,80.4,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.351
LSA,early,9/5/2019 1:40,1.2,1.2,1.2,55.863,46.166,81.8,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.345
LSA,early,9/5/2019 1:50,1.2,1.2,1.2,55.776,45.489,82.2,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.345
LSA,early,9/5/2019 2:00,1.2,1.2,1.2,55.647,45.624,82.5,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.345
LSA,early,9/5/2019 2:10,1.2,1.2,1.2,55.558,46.706,80.4,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.345
LSA,early,9/5/2019 2:20,1.2,1.2,1.2,55.472,46.974,80.1,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.345
LSA,early,9/5/2019 2:30,1.2,1.2,1.2,55.386,47.019,81.3,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.345
LSA,early,9/5/2019 2:40,1.2,1.2,1.2,55.299,46.436,81.1,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.339
LSA,early,9/5/2019 2:50,1.2,1.2,1.2,55.213,46.886,79.8,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.345
LSA,early,9/5/2019 3:00,1.2,1.2,1.2,55.168,47.244,78.8,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.339
LSA,early,9/5/2019 3:10,1.2,1.2,1.2,55.081,47.691,78.9,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.339
LSA,early,9/5/2019 3:20,1.2,1.2,1.2,55.038,47.244,80.4,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.339
LSA,early,9/5/2019 3:30,1.2,1.2,1.2,54.952,46.796,83.4,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.339
LSA,early,9/5/2019 3:40,1.2,1.2,1.2,54.909,46.661,82.2,-0.1988,0.6,0.6,0.6,0.0206,0.0279,4.339
LSA,early,9/5/2019 3:50,1.2,1.2,1.2,54.865,46.391,83,-0.1988,0.6,0.6,0.6,0.0214,0.0272,4.339
LSA,early,9/5/2019 4:00,1.2,1.2,1.2,54.777,46.706,83.3,-0.1988,0.6,0.6,0.6,0.0214,0.0272,4.339
LSA,early,9/5/2019 4:10,1.2,1.2,1.2,54.734,46.751,82.6,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.339
LSA,early,9/5/2019 4:20,1.2,1.2,1.2,54.691,46.526,83.5,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.339
LSA,early,9/5/2019 4:30,1.2,1.2,1.2,54.604,46.391,83.9,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.339
LSA,early,9/5/2019 4:40,1.2,1.2,1.2,54.561,46.211,83.4,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.339
LSA,early,9/5/2019 4:50,1.2,1.2,1.2,54.516,46.031,84.4,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.339
LSA,early,9/5/2019 5:00,1.2,1.2,1.2,54.43,46.301,83.4,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.339
LSA,early,9/5/2019 5:10,1.2,1.2,1.2,54.387,46.301,83.7,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.339
LSA,early,9/5/2019 5:20,1.2,1.2,1.2,54.3,46.436,83,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.339
LSA,early,9/5/2019 5:30,1.2,1.2,1.2,54.212,45.036,84.7,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.339
LSA,early,9/5/2019 5:40,1.2,1.2,1.2,54.126,42.984,86.3,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.339
LSA,early,9/5/2019 5:50,1.2,1.2,1.2,53.951,40.951,91.5,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.339
LSA,early,9/5/2019 6:00,1.2,1.2,1.2,53.776,40.204,92.6,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.357
LSA,early,9/5/2019 6:10,1.2,1.2,1.2,53.559,39.83,91.7,-0.1988,0.6,0.6,0.6,0.0206,0.0272,4.339
LSA,early,9/5/2019 6:20,1.2,1.2,1.2,53.341,38.748,93.6,-0.1988,0.6,0.6,0.6,0.0206,0.0264,4.339
LSA,early,9/5/2019 6:30,1.2,1.2,1.2,53.121,38.273,94.6,-0.1988,0.6,0.6,0.6,0.0206,0.0264,4.339
LSA,early,9/5/2019 6:40,8.7,1.2,1.2,52.86,37.702,94.7,-0.1988,3.1,0.6,0.6,0.0206,0.0264,4.339
LSA,early,9/5/2019 6:50,21.2,1.2,1.2,52.641,38.7,95.9,-0.1988,8.1,0.6,0.6,0.0206,0.0264,4.339
LSA,early,9/5/2019 7:00,36.2,1.2,1.2,52.466,39.36,94.2,-0.1988,11.9,0.6,0.6,0.0206,0.0264,4.345
LSA,early,9/5/2019 7:10,51.2,1.2,1.2,52.291,40.111,94.1,-0.1988,14.4,0.6,0.6,0.0206,0.0264,4.363
LSA,early,9/5/2019 7:20,63.7,1.2,1.2,52.115,40.579,93,-0.1988,18.1,0.6,0.6,0.0199,0.0264,4.363
LSA,early,9/5/2019 7:30,73.7,1.2,1.2,52.029,40.811,92,-0.1988,19.4,0.6,0.6,0.0206,0.0264,4.393
LSA,early,9/5/2019 7:40,81.2,1.2,1.2,51.895,40.858,93.5,-0.1988,21.9,0.6,0.6,0.0206,0.0257,4.393
LSA,early,9/5/2019 7:50,88.7,1.2,1.2,51.809,41.137,92.5,-0.1988,23.1,0.6,0.6,0.0206,0.0264,4.369
LSA,early,9/5/2019 8:00,93.7,1.2,1.2,51.764,41.508,92.8,-0.1988,25.6,0.6,1.9,0.0206,0.0264,4.418
LSA,early,9/5/2019 8:10,101.2,1.2,1.2,51.678,41.369,93.5,-0.1988,26.9,0.6,1.9,0.0199,0.0257,4.381
LSA,early,9/5/2019 8:20,106.2,1.2,1.2,51.633,41.648,93.5,-0.1988,29.4,0.6,1.9,0.0199,0.0257,4.418
LSA,early,9/5/2019 8:30,111.2,3.7,1.2,51.589,42.616,92.1,-0.1988,30.6,1.9,1.9,0.0199,0.0257,4.381
LSA,early,9/5/2019 8:40,668.7,33.7,36.2,51.633,54.777,75.5,-0.1988,326.9,54.4,71.9,0.0199,0.0257,4.393
LSA,early,9/5/2019 8:50,746.2,38.7,38.7,52.072,65.23,54.6,-0.1988,364.4,58.1,76.9,0.0199,0.0257,4.393
LSA,early,9/5/2019 9:00,818.7,41.2,41.2,52.729,72.61,44.3,-0.1988,400.6,63.1,80.6,0.0206,0.0257,4.363
LSA,early,9/5/2019 9:10,896.2,43.7,41.2,53.515,77.029,36.3,-0.1988,435.6,65.6,83.1,0.0206,0.0264,4.393
LSA,early,9/5/2019 9:20,966.2,48.7,43.7,54.343,78.733,31.6,-0.1988,469.4,69.4,86.9,0.0199,0.0264,4.369
LSA,early,9/5/2019 9:30,1038.7,51.2,46.2,55.256,80.89,29.9,-0.1988,504.4,71.9,89.4,0.0206,0.0264,4.418
LSA,early,9/5/2019 9:40,1113.7,53.7,48.7,56.122,80.935,30.6,-0.1988,538.1,74.4,93.1,0.0199,0.0264,4.363
LSA,early,9/5/2019 9:50,1171.2,56.2,48.7,57.074,84.812,32.2,-0.1988,569.4,76.9,95.6,0.0199,0.0272,4.484
LSA,early,9/5/2019 10:00,1241.2,58.7,51.2,57.936,87.028,29.4,-0.1988,603.1,79.4,96.9,0.0206,0.0264,4.363
LSA,early,9/5/2019 10:10,1301.2,61.2,53.7,58.885,90.75,25.5,-0.1988,629.4,81.9,99.4,0.0199,0.0264,4.369
LSA,early,9/5/2019 10:20,1361.2,63.7,53.7,59.873,86.709,24.3,-0.1988,656.9,84.4,100.6,0.0206,0.0264,4.363
LSA,early,9/5/2019 10:30,1428.7,66.2,56.2,60.861,85.939,24.5,-0.1988,690.6,86.9,103.1,0.0199,0.0264,4.375
LSA,early,9/5/2019 10:40,1496.2,68.7,56.2,61.977,84.767,22.6,-0.1988,724.4,89.4,104.4,0.0206,0.0272,4.363
LSA,early,9/5/2019 10:50,1553.7,73.7,58.7,63.005,85.442,24,-0.1937,758.1,93.1,108.1,0.0206,0.0272,4.369
LSA,early,9/5/2019 11:00,1663.7,76.2,63.7,64.074,92.338,21.1,-0.1988,814.4,98.1,113.1,0.0206,0.0272,4.363
LSA,early,9/5/2019 11:10,923.7,41.2,33.7,65.102,89.87,22.2,-0.1988,424.4,49.4,56.9,0.0206,0.0272,4.375
LSA,early,9/5/2019 11:20,378.7,13.7,11.2,65.959,90.612,20.9,-0.1988,176.9,19.4,21.9,0.0206,0.0272,4.375
LSA,early,9/5/2019 11:30,646.2,26.2,21.2,66.173,81.997,26.3,-0.1988,306.9,33.1,39.4,0.0206,0.0279,4.381
LSA,early,9/5/2019 11:40,443.7,16.2,13.7,66.558,79.084,27.4,-0.1988,214.4,23.1,28.1,0.0206,0.0286,4.363
LSA,early,9/5/2019 11:50,601.2,23.7,21.2,66.558,76.114,33.2,-0.1988,293.1,31.9,36.9,0.0206,0.0279,4.393
LSA,early,9/5/2019 12:00,328.7,11.2,11.2,66.686,73.126,32.7,-0.1988,159.4,16.9,20.6,0.0206,0.0286,4.363
LSA,early,9/5/2019 12:10,431.2,16.2,13.7,66.515,70.329,36,-0.1988,209.4,23.1,26.9,0.0206,0.0286,4.393
LSA,early,9/5/2019 12:20,343.7,13.7,11.2,66.385,68.614,43.6,-0.1988,164.4,16.9,20.6,0.0206,0.0286,4.369
LSA,early,9/5/2019 12:30,511.2,21.2,16.2,66.258,68.913,36.6,-0.1988,258.1,26.9,31.9,0.0214,0.0293,4.478
LSA,early,9/5/2019 12:40,478.7,18.7,16.2,66.043,68.227,34.7,-0.1988,241.9,25.6,29.4,0.0214,0.0293,4.375
LSA,early,9/5/2019 12:50,1088.7,43.7,36.2,65.959,69.685,33.3,-0.1988,543.1,55.6,64.4,0.0214,0.0293,4.363
LSA,early,9/5/2019 13:00,813.7,33.7,28.7,65.959,70.416,33.9,-0.1988,409.4,43.1,50.6,0.0214,0.0293,4.381
LSA,early,9/5/2019 13:10,2236.2,93.7,78.7,66.301,82.308,25.4,-0.1988,1155.6,119.4,135.6,0.0214,0.0301,4.363
LSA,early,9/5/2019 13:20,2073.7,86.2,71.2,66.729,80.492,24.8,-0.1988,1065.6,106.9,120.6,0.0214,0.0301,4.393
LSA,early,9/5/2019 13:30,491.2,18.7,16.2,67.242,76.375,28.9,-0.1988,235.6,24.4,29.4,0.0214,0.0301,4.363
LSA,early,9/5/2019 13:40,466.2,18.7,16.2,67.413,70.072,33.4,-0.1988,229.4,23.1,28.1,0.0214,0.0301,4.46
LSA,early,9/5/2019 13:50,266.2,8.7,8.7,67.5,68.227,35.2,-0.1988,133.1,13.1,15.6,0.0214,0.0301,4.369
LSA,early,9/5/2019 14:00,208.7,6.2,6.2,67.372,67.158,34.9,-0.1988,101.9,9.4,11.9,0.0214,0.0301,4.363
LSA,early,9/5/2019 14:10,128.7,3.7,3.7,67.158,65.916,36.5,-0.1988,60.6,5.6,6.9,0.0214,0.0301,4.381
LSA,early,9/5/2019 14:20,91.2,1.2,1.2,66.9,63.99,43.4,-0.1937,44.4,3.1,4.4,0.0214,0.0301,4.369
LSA,early,9/5/2019 14:30,101.2,1.2,1.2,66.6,61.032,50.2,-0.1988,48.1,3.1,4.4,0.0214,0.0308,4.381
LSA,early,9/5/2019 14:40,146.2,1.2,3.7,66.043,52.16,91.5,-0.1988,75.6,4.4,6.9,0.0214,0.0308,4.381
LSA,early,9/5/2019 14:50,253.7,6.2,6.2,65.444,51.633,95.4,-0.1988,128.1,9.4,13.1,0.0214,0.0301,4.369
LSA,early,9/5/2019 15:00,293.7,8.7,8.7,64.845,52.029,96.8,-0.1988,151.9,11.9,16.9,0.0221,0.0308,4.393
LSA,early,9/5/2019 15:10,263.7,6.2,8.7,64.332,52.029,96.4,-0.1988,136.9,11.9,16.9,0.0221,0.0308,4.393
LSA,early,9/5/2019 15:20,141.2,3.7,3.7,63.732,50.311,97.4,-0.1988,73.1,5.6,8.1,0.0221,0.0301,4.375
LSA,early,9/5/2019 15:30,178.7,3.7,3.7,62.962,50.002,99.6,-0.1988,91.9,6.9,10.6,0.0221,0.0293,4.393
LSA,early,9/5/2019 15:40,178.7,3.7,3.7,62.362,49.825,99.6,-0.1988,95.6,5.6,10.6,0.0228,0.0301,4.381
LSA,early,9/5/2019 15:50,181.2,3.7,6.2,61.891,50.4,99.6,-0.1988,96.9,6.9,11.9,0.0228,0.0308,4.393
LSA,early,9/5/2019 16:00,181.2,3.7,6.2,61.506,51.589,99.2,-0.1937,95.6,6.9,11.9,0.0228,0.0308,4.393
LSA,early,9/5/2019 16:10,166.2,3.7,3.7,61.205,50.752,98.3,-0.1988,88.1,5.6,10.6,0.0228,0.0308,4.381
LSA,early,9/5/2019 16:20,158.7,3.7,3.7,60.818,50.223,97.8,-0.1988,83.1,5.6,9.4,0.0228,0.0308,4.393
LSA,early,9/5/2019 16:30,173.7,3.7,3.7,60.433,50.576,96.1,-0.1988,88.1,5.6,9.4,0.0228,0.0308,4.381
LSA,early,9/5/2019 16:40,211.2,3.7,6.2,60.003,50.311,96.7,-0.1988,105.6,6.9,11.9,0.0228,0.0315,4.418
LSA,early,9/5/2019 16:50,273.7,6.2,6.2,59.572,51.94,94.6,-0.1988,135.6,9.4,14.4,0.0228,0.0308,4.393
LSA,early,9/5/2019 17:00,331.2,6.2,8.7,59.229,53.733,88.1,-0.1988,160.6,11.9,16.9,0.0228,0.0308,4.381
LSA,early,9/5/2019 17:10,461.2,8.7,11.2,59.014,55.733,83.1,-0.1988,218.1,13.1,20.6,0.0221,0.0308,4.393
LSA,early,9/5/2019 17:20,918.7,11.2,16.2,58.885,57.376,84.8,-0.1988,464.4,19.4,35.6,0.0228,0.0301,4.393
LSA,early,9/5/2019 17:30,908.7,11.2,16.2,58.885,59.529,82.4,-0.1988,464.4,16.9,34.4,0.0228,0.0308,4.381
LSA,early,9/5/2019 17:40,586.2,6.2,11.2,58.971,58.455,82.7,-0.1988,288.1,10.6,20.6,0.0228,0.0308,4.393
LSA,early,9/5/2019 17:50,693.7,6.2,11.2,59.014,57.247,81.3,-0.1988,355.6,11.9,24.4,0.0228,0.0308,4.381
LSA,early,9/5/2019 18:00,698.7,6.2,11.2,59.099,57.592,79.7,-0.1988,375.6,13.1,24.4,0.0221,0.0308,4.369
LSA,early,9/5/2019 18:10,446.2,6.2,8.7,59.142,56.512,83.1,-0.1988,230.6,9.4,15.6,0.0228,0.0301,4.393
LSA,early,9/5/2019 18:20,236.2,3.7,6.2,59.142,56.035,82.2,-0.1988,115.6,8.1,11.9,0.0228,0.0301,4.381
LSA,early,9/5/2019 18:30,343.7,6.2,6.2,59.142,56.988,80.3,-0.1988,196.9,10.6,15.6,0.0228,0.0301,4.393
LSA,early,9/5/2019 18:40,181.2,3.7,3.7,59.142,56.858,81.6,-0.1988,101.9,8.1,11.9,0.0228,0.0301,4.393
LSA,early,9/5/2019 18:50,106.2,1.2,1.2,59.185,55.949,86,-0.1988,64.4,5.6,6.9,0.0221,0.0301,4.381
LSA,early,9/5/2019 19:00,31.2,1.2,1.2,59.142,54.865,90.6,-0.1988,19.4,0.6,0.6,0.0221,0.0301,4.393
LSA,early,9/5/2019 19:10,16.2,1.2,1.2,59.056,53.776,85.3,-0.1988,10.6,0.6,0.6,0.0221,0.0301,4.381
LSA,early,9/5/2019 19:20,11.2,1.2,1.2,58.928,53.384,84.2,-0.1988,6.9,0.6,0.6,0.0221,0.0301,4.375
LSA,early,9/5/2019 19:30,3.7,1.2,1.2,58.755,53.865,75.2,-0.1988,3.1,0.6,0.6,0.0221,0.0293,4.369
LSA,early,9/5/2019 19:40,1.2,1.2,1.2,58.498,53.645,77.7,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.369
LSA,early,9/5/2019 19:50,1.2,1.2,1.2,58.239,52.597,75.8,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.369
LSA,early,9/5/2019 20:00,1.2,1.2,1.2,58.023,50.886,82.3,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.363
LSA,early,9/5/2019 20:10,1.2,1.2,1.2,57.765,54.995,66.7,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.363
LSA,early,9/5/2019 20:20,1.2,1.2,1.2,57.506,52.554,77.6,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.363
LSA,early,9/5/2019 20:30,1.2,1.2,1.2,57.29,51.148,81.4,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.363
LSA,early,9/5/2019 20:40,1.2,1.2,1.2,57.074,49.116,87.5,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.363
LSA,early,9/5/2019 20:50,1.2,1.2,1.2,56.858,48.182,86.6,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.363
LSA,early,9/5/2019 21:00,1.2,1.2,1.2,56.642,47.109,91.5,-0.1988,0.6,0.6,0.6,0.0221,0.0293,4.363
LSA,early,9/5/2019 21:10,1.2,1.2,1.2,56.426,45.941,93.5,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.363
LSA,early,9/5/2019 21:20,1.2,1.2,1.2,56.208,44.856,94.6,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.363
LSA,early,9/5/2019 21:30,1.2,1.2,1.2,55.949,43.99,95.4,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.363
LSA,early,9/5/2019 21:40,1.2,1.2,1.2,55.69,43.579,95.1,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.363
LSA,early,9/5/2019 21:50,1.2,1.2,1.2,55.386,43.259,96.3,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.363
LSA,early,9/5/2019 22:00,1.2,1.2,1.2,55.125,43.306,95.9,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.363
LSA,early,9/5/2019 22:10,1.2,1.2,1.2,54.865,42.892,96.7,-0.1988,0.6,0.6,0.6,0.0221,0.0286,4.363
LSA,early,9/5/2019 22:20,1.2,1.2,1.2,54.604,43.488,95.2,-0.1988,0.6,0.6,0.6,0.0214,0.0286,4.363
LSA,early,9/5/2019 22:30,1.2,1.2,1.2,54.343,43.214,97.1,-0.1988,0.6,0.6,0.6,0.0214,0.0286,4.363
LSA,early,9/5/2019 22:40,1.2,1.2,1.2,54.126,44.037,95.5,-0.1988,0.6,0.6,0.6,0.0214,0.0286,4.363
LSA,early,9/5/2019 22:50,1.2,1.2,1.2,53.951,44.173,94.2,-0.1988,0.6,0.6,0.6,0.0214,0.0286,4.357
LSA,early,9/5/2019 23:00,1.2,1.2,1.2,53.776,43.03,95,-0.1988,0.6,0.6,0.6,0.0214,0.0286,4.357
LSA,early,9/5/2019 23:10,1.2,1.2,1.2,53.602,42.247,97.7,-0.1988,0.6,0.6,0.6,0.0214,0.0286,4.357
LSA,early,9/5/2019 23:20,1.2,1.2,1.2,53.384,42.847,97.3,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.351
LSA,early,9/5/2019 23:30,1.2,1.2,1.2,53.209,42.892,96.4,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.351
LSA,early,9/5/2019 23:40,1.2,1.2,1.2,53.035,42.755,96.6,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.351
LSA,early,9/5/2019 23:50,1.2,1.2,1.2,52.903,42.8,96.6,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.351
LSA,early,9/6/2019 0:00,1.2,1.2,1.2,52.729,40.951,96.2,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.363
LSA,early,9/6/2019 0:10,1.2,1.2,1.2,52.509,39.877,98,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.351
LSA,early,9/6/2019 0:20,1.2,1.2,1.2,52.335,40.532,98.9,-0.1988,0.6,0.6,0.6,0.0214,0.0279,4.351
LSA,early,9/6/2019 0:30,1.2,1.2,1.2,52.115,40.017,99.2,-0.1988,0.6,0.6,0.6,0.0214,0.0272,4.351
LSA,early,9/6/2019 0:40,1.2,1.2,1.2,51.94,39.736,98.7,-0.1988,0.6,0.6,0.6,0.0214,0.0272,4.351
