"Plot Title: 20393600_BaldyB2"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20393600, SEN S/N: 20399030, LBL: B2_R)","Temp, °F (LGR S/N: 20393600, SEN S/N: 20399279, LBL: B2_R)"
277,06/24/18 07:00:01 AM,0.3102,47.244
278,06/24/18 08:00:01 AM,0.3106,47.019
279,06/24/18 09:00:01 AM,0.3106,47.377
280,06/24/18 10:00:01 AM,0.3106,48.360
281,06/24/18 11:00:01 AM,0.3106,49.782
282,06/24/18 12:00:01 PM,0.3098,51.325
283,06/24/18 01:00:01 PM,0.3098,52.160
284,06/24/18 02:00:01 PM,0.3098,52.860
285,06/24/18 03:00:01 PM,0.3098,53.384
286,06/24/18 04:00:01 PM,0.3098,54.082
287,06/24/18 05:00:01 PM,0.3092,54.516
288,06/24/18 06:00:01 PM,0.3095,54.387
289,06/24/18 07:00:01 PM,0.3092,53.908
290,06/24/18 08:00:01 PM,0.3087,53.209
291,06/24/18 09:00:01 PM,0.3087,52.291
292,06/24/18 10:00:01 PM,0.3084,51.325
293,06/24/18 11:00:01 PM,0.3084,50.400
294,06/25/18 12:00:01 AM,0.3084,49.516
295,06/25/18 01:00:01 AM,0.3084,48.672
296,06/25/18 02:00:01 AM,0.3084,47.826
297,06/25/18 03:00:01 AM,0.3084,47.109
298,06/25/18 04:00:01 AM,0.3084,46.481
299,06/25/18 05:00:01 AM,0.3084,45.761
300,06/25/18 06:00:01 AM,0.3087,45.172
301,06/25/18 07:00:01 AM,0.3084,44.582
302,06/25/18 08:00:01 AM,0.3087,44.310
303,06/25/18 09:00:01 AM,0.3087,44.764
304,06/25/18 10:00:01 AM,0.3087,45.896
305,06/25/18 11:00:01 AM,0.3092,47.647
306,06/25/18 12:00:01 PM,0.3087,49.692
307,06/25/18 01:00:01 PM,0.3087,51.895
308,06/25/18 02:00:01 PM,0.3087,53.994
309,06/25/18 03:00:01 PM,0.3084,55.819
310,06/25/18 04:00:01 PM,0.3080,57.117
311,06/25/18 05:00:01 PM,0.3080,57.592
312,06/25/18 06:00:01 PM,0.3077,57.333
313,06/25/18 07:00:01 PM,0.3077,56.642
314,06/25/18 08:00:01 PM,0.3072,55.733
315,06/25/18 09:00:01 PM,0.3072,54.734
316,06/25/18 10:00:01 PM,0.3069,53.645
317,06/25/18 11:00:01 PM,0.3066,52.597
318,06/26/18 12:00:01 AM,0.3066,51.589
319,06/26/18 01:00:01 AM,0.3069,50.709
320,06/26/18 02:00:01 AM,0.3066,49.870
321,06/26/18 03:00:01 AM,0.3069,49.116
322,06/26/18 04:00:01 AM,0.3066,48.450
323,06/26/18 05:00:01 AM,0.3066,47.781
324,06/26/18 06:00:01 AM,0.3066,47.199
325,06/26/18 07:00:01 AM,0.3066,46.661
326,06/26/18 08:00:01 AM,0.3069,46.391
327,06/26/18 09:00:01 AM,0.3069,46.841
328,06/26/18 10:00:01 AM,0.3069,48.004
329,06/26/18 11:00:01 AM,0.3069,49.782
330,06/26/18 12:00:01 PM,0.3066,51.940
331,06/26/18 01:00:01 PM,0.3066,54.255
332,06/26/18 02:00:01 PM,0.3062,56.426
333,06/26/18 03:00:01 PM,0.3058,58.195
334,06/26/18 04:00:01 PM,0.3058,59.272
335,06/26/18 05:00:01 PM,0.3051,59.659
336,06/26/18 06:00:01 PM,0.3051,59.358
337,06/26/18 07:00:01 PM,0.3051,58.712
338,06/26/18 08:00:01 PM,0.3048,57.850
339,06/26/18 09:00:01 PM,0.3040,56.858
340,06/26/18 10:00:01 PM,0.3040,55.819
341,06/26/18 11:00:01 PM,0.3043,54.777
342,06/27/18 12:00:01 AM,0.3043,53.820
343,06/27/18 01:00:01 AM,0.3040,52.947
344,06/27/18 02:00:01 AM,0.3040,52.160
345,06/27/18 03:00:01 AM,0.3040,51.282
346,06/27/18 04:00:01 AM,0.3037,50.488
347,06/27/18 05:00:01 AM,0.3037,49.782
348,06/27/18 06:00:01 AM,0.3037,49.073
349,06/27/18 07:00:01 AM,0.3040,48.450
350,06/27/18 08:00:01 AM,0.3040,48.182
351,06/27/18 09:00:01 AM,0.3043,48.583
352,06/27/18 10:00:01 AM,0.3043,49.692
353,06/27/18 11:00:01 AM,0.3040,51.501
354,06/27/18 12:00:01 PM,0.3037,53.559
355,06/27/18 01:00:01 PM,0.3033,55.256
356,06/27/18 02:00:01 PM,0.3033,56.642
357,06/27/18 03:00:01 PM,0.3029,57.936
358,06/27/18 04:00:01 PM,0.3026,59.099
359,06/27/18 05:00:01 PM,0.3022,59.529
360,06/27/18 06:00:01 PM,0.3022,59.358
361,06/27/18 07:00:01 PM,0.3019,58.755
362,06/27/18 08:00:01 PM,0.3011,57.979
363,06/27/18 09:00:01 PM,0.3008,57.031
364,06/27/18 10:00:01 PM,0.3008,56.035
365,06/27/18 11:00:01 PM,0.3008,55.038
366,06/28/18 12:00:01 AM,0.3008,54.126
367,06/28/18 01:00:01 AM,0.3008,53.209
368,06/28/18 02:00:01 AM,0.3005,52.378
369,06/28/18 03:00:01 AM,0.3008,51.589
370,06/28/18 04:00:01 AM,0.3005,50.841
371,06/28/18 05:00:01 AM,0.3005,50.092
372,06/28/18 06:00:01 AM,0.3008,49.428
373,06/28/18 07:00:01 AM,0.3008,48.762
374,06/28/18 08:00:01 AM,0.3008,48.450
375,06/28/18 09:00:01 AM,0.3008,48.895
376,06/28/18 10:00:01 AM,0.3008,50.092
377,06/28/18 11:00:01 AM,0.3008,51.984
378,06/28/18 12:00:01 PM,0.3005,54.300
379,06/28/18 01:00:01 PM,0.2997,56.556
380,06/28/18 02:00:01 PM,0.2994,58.541
381,06/28/18 03:00:01 PM,0.2990,60.089
382,06/28/18 04:00:01 PM,0.2987,61.032
383,06/28/18 05:00:01 PM,0.2984,61.205
384,06/28/18 06:00:01 PM,0.2979,60.904
385,06/28/18 07:00:01 PM,0.2976,60.303
386,06/28/18 08:00:01 PM,0.2973,59.445
