"Plot Title: 20290164_SM_UM_A2_ctrl"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20290164, SEN S/N: 9719170, LBL: A2_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152228, LBL: A2_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152229, LBL: A2_Rshrub)"
245,06/20/19 03:00:01 PM,54.561,0.2315,0.2437
246,06/20/19 04:00:01 PM,54.909,0.2315,0.2430
247,06/20/19 05:00:01 PM,55.386,0.2323,0.2425
248,06/20/19 06:00:01 PM,55.992,0.2311,0.2425
249,06/20/19 07:00:01 PM,55.602,0.2315,0.2421
250,06/20/19 08:00:01 PM,54.865,0.2306,0.2421
251,06/20/19 09:00:01 PM,54.037,0.2303,0.2418
252,06/20/19 10:00:01 PM,53.166,0.2306,0.2418
253,06/20/19 11:00:01 PM,52.291,0.2286,0.2418
254,06/21/19 12:00:01 AM,51.544,0.2311,0.2425
255,06/21/19 01:00:01 AM,50.841,0.2306,0.2425
256,06/21/19 02:00:01 AM,50.268,0.2299,0.2425
257,06/21/19 03:00:01 AM,49.649,0.2294,0.2425
258,06/21/19 04:00:01 AM,48.895,0.2294,0.2421
259,06/21/19 05:00:01 AM,48.182,0.2294,0.2425
260,06/21/19 06:00:01 AM,47.512,0.2294,0.2425
261,06/21/19 07:00:01 AM,46.974,0.2294,0.2430
262,06/21/19 08:00:01 AM,46.661,0.2291,0.2430
263,06/21/19 09:00:01 AM,46.706,0.2286,0.2430
264,06/21/19 10:00:01 AM,47.244,0.2286,0.2425
265,06/21/19 11:00:01 AM,48.227,0.2286,0.2421
266,06/21/19 12:00:01 PM,49.471,0.2282,0.2414
267,06/21/19 01:00:01 PM,50.797,0.2269,0.2406
268,06/21/19 02:00:01 PM,52.160,0.2269,0.2394
269,06/21/19 03:00:01 PM,53.820,0.2237,0.2387
270,06/21/19 04:00:01 PM,55.125,0.2269,0.2387
271,06/21/19 05:00:01 PM,56.295,0.2266,0.2379
272,06/21/19 06:00:01 PM,57.117,0.2262,0.2367
273,06/21/19 07:00:01 PM,57.420,0.2262,0.2363
274,06/21/19 08:00:01 PM,56.901,0.2262,0.2358
275,06/21/19 09:00:01 PM,55.906,0.2262,0.2355
276,06/21/19 10:00:01 PM,54.865,0.2262,0.2363
277,06/21/19 11:00:01 PM,53.951,0.2266,0.2363
278,06/22/19 12:00:01 AM,53.166,0.2262,0.2363
279,06/22/19 01:00:01 AM,52.378,0.2254,0.2363
280,06/22/19 02:00:01 AM,51.589,0.2249,0.2363
281,06/22/19 03:00:01 AM,50.886,0.2257,0.2363
282,06/22/19 04:00:01 AM,50.180,0.2249,0.2367
283,06/22/19 05:00:01 AM,49.383,0.2257,0.2367
284,06/22/19 06:00:01 AM,48.583,0.2262,0.2371
285,06/22/19 07:00:01 AM,48.004,0.2266,0.2374
286,06/22/19 08:00:01 AM,47.512,0.2262,0.2379
287,06/22/19 09:00:01 AM,47.512,0.2262,0.2383
288,06/22/19 10:00:01 AM,48.004,0.2257,0.2383
289,06/22/19 11:00:01 AM,49.161,0.2254,0.2379
290,06/22/19 12:00:01 PM,50.445,0.2232,0.2371
291,06/22/19 01:00:01 PM,51.193,0.2219,0.2363
292,06/22/19 02:00:01 PM,51.237,0.2257,0.2358
293,06/22/19 03:00:01 PM,50.797,0.2257,0.2358
294,06/22/19 04:00:01 PM,49.914,0.2274,0.2371
295,06/22/19 05:00:01 PM,49.516,0.2277,0.2374
296,06/22/19 06:00:01 PM,49.028,0.2282,0.2387
297,06/22/19 07:00:01 PM,48.227,0.2311,0.2406
298,06/22/19 08:00:01 PM,47.377,0.2335,0.2430
299,06/22/19 09:00:01 PM,46.751,0.2358,0.2460
300,06/22/19 10:00:01 PM,46.211,0.2371,0.2475
301,06/22/19 11:00:01 PM,45.714,0.2379,0.2487
302,06/23/19 12:00:01 AM,45.307,0.2383,0.2498
303,06/23/19 01:00:01 AM,44.901,0.2387,0.2509
304,06/23/19 02:00:01 AM,44.537,0.2390,0.2512
305,06/23/19 03:00:01 AM,44.082,0.2390,0.2520
306,06/23/19 04:00:01 AM,43.671,0.2390,0.2532
307,06/23/19 05:00:01 AM,43.351,0.2394,0.2534
308,06/23/19 06:00:01 AM,43.030,0.2394,0.2542
309,06/23/19 07:00:01 AM,42.708,0.2394,0.2550
310,06/23/19 08:00:01 AM,42.525,0.2399,0.2553
311,06/23/19 09:00:01 AM,42.478,0.2390,0.2560
312,06/23/19 10:00:01 AM,42.616,0.2410,0.2567
313,06/23/19 11:00:01 AM,42.984,0.2414,0.2571
