"Plot Title: 20290165_SM_UM_C2_ctrl"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20290165, SEN S/N: 20145933, LBL: UM_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290165, SEN S/N: 20152221, LBL: UM_Rshrub)","Temp, °F (LGR S/N: 20290165, SEN S/N: 20399282, LBL: UM_Lmeadow)"
307,06/28/19 05:00:01 AM,0.2922,0.2073,51.633
308,06/28/19 06:00:01 AM,0.2922,0.2070,50.797
309,06/28/19 07:00:01 AM,0.2922,0.2073,50.002
310,06/28/19 08:00:01 AM,0.2922,0.2073,49.516
311,06/28/19 09:00:01 AM,0.2922,0.2073,50.047
312,06/28/19 10:00:01 AM,0.2919,0.2061,51.589
313,06/28/19 11:00:01 AM,0.2914,0.2052,53.820
314,06/28/19 12:00:01 PM,0.2911,0.2038,56.469
315,06/28/19 01:00:01 PM,0.2908,0.2026,59.185
316,06/28/19 02:00:01 PM,0.2901,0.2017,61.720
317,06/28/19 03:00:01 PM,0.2895,0.2008,63.732
318,06/28/19 04:00:01 PM,0.2890,0.2003,64.974
319,06/28/19 05:00:01 PM,0.2887,0.1994,65.829
320,06/28/19 06:00:01 PM,0.2884,0.1985,66.087
321,06/28/19 07:00:01 PM,0.2881,0.1976,65.487
322,06/28/19 08:00:01 PM,0.2877,0.1972,64.418
323,06/28/19 09:00:01 PM,0.2877,0.1972,63.176
324,06/28/19 10:00:01 PM,0.2874,0.1976,61.977
325,06/28/19 11:00:01 PM,0.2874,0.1976,60.904
326,06/29/19 12:00:01 AM,0.2874,0.1972,59.959
327,06/29/19 01:00:01 AM,0.2874,0.1976,59.056
328,06/29/19 02:00:01 AM,0.2871,0.1976,58.195
329,06/29/19 03:00:01 AM,0.2871,0.1976,57.376
330,06/29/19 04:00:01 AM,0.2874,0.1976,56.599
331,06/29/19 05:00:01 AM,0.2874,0.1976,55.906
332,06/29/19 06:00:01 AM,0.2871,0.1976,55.213
333,06/29/19 07:00:01 AM,0.2871,0.1976,54.516
334,06/29/19 08:00:01 AM,0.2871,0.1976,54.212
335,06/29/19 09:00:01 AM,0.2871,0.1972,54.561
336,06/29/19 10:00:01 AM,0.2871,0.1967,55.342
337,06/29/19 11:00:01 AM,0.2864,0.1958,56.426
338,06/29/19 12:00:01 PM,0.2861,0.1948,58.109
339,06/29/19 01:00:01 PM,0.2853,0.1935,60.517
340,06/29/19 02:00:01 PM,0.2850,0.1923,63.005
341,06/29/19 03:00:01 PM,0.2850,0.1917,64.888
342,06/29/19 04:00:01 PM,0.2837,0.1904,66.173
343,06/29/19 05:00:01 PM,0.2834,0.1898,66.472
344,06/29/19 06:00:01 PM,0.2830,0.1891,66.214
345,06/29/19 07:00:01 PM,0.2824,0.1881,65.788
346,06/29/19 08:00:01 PM,0.2821,0.1876,65.145
347,06/29/19 09:00:01 PM,0.2824,0.1881,64.332
348,06/29/19 10:00:01 PM,0.2824,0.1881,63.262
349,06/29/19 11:00:01 PM,0.2824,0.1876,62.148
350,06/30/19 12:00:01 AM,0.2821,0.1881,60.948
351,06/30/19 01:00:01 AM,0.2824,0.1885,59.830
352,06/30/19 02:00:01 AM,0.2824,0.1885,58.928
353,06/30/19 03:00:01 AM,0.2824,0.1885,58.152
354,06/30/19 04:00:01 AM,0.2824,0.1881,57.290
355,06/30/19 05:00:01 AM,0.2824,0.1885,56.469
356,06/30/19 06:00:01 AM,0.2821,0.1885,55.690
357,06/30/19 07:00:01 AM,0.2824,0.1885,54.952
358,06/30/19 08:00:01 AM,0.2824,0.1885,54.604
359,06/30/19 09:00:01 AM,0.2824,0.1885,54.691
360,06/30/19 10:00:01 AM,0.2821,0.1881,55.429
361,06/30/19 11:00:01 AM,0.2817,0.1866,56.944
362,06/30/19 12:00:01 PM,0.2810,0.1853,59.014
363,06/30/19 01:00:01 PM,0.2806,0.1849,61.205
364,06/30/19 02:00:01 PM,0.2800,0.1836,63.262
365,06/30/19 03:00:01 PM,0.2796,0.1826,65.145
366,06/30/19 04:00:01 PM,0.2790,0.1813,66.643
367,06/30/19 05:00:01 PM,0.2776,0.1793,67.242
368,06/30/19 06:00:01 PM,0.2770,0.1793,66.772
369,06/30/19 07:00:01 PM,0.2773,0.1793,65.615
370,06/30/19 08:00:01 PM,0.2773,0.1793,64.503
371,06/30/19 09:00:01 PM,0.2776,0.1803,63.518
372,06/30/19 10:00:01 PM,0.2783,0.1830,62.490
373,06/30/19 11:00:01 PM,0.2783,0.1830,61.462
374,07/01/19 12:00:01 AM,0.2783,0.1826,60.390
375,07/01/19 01:00:01 AM,0.2783,0.1830,59.445
376,07/01/19 02:00:01 AM,0.2783,0.1830,58.626
377,07/01/19 03:00:01 AM,0.2783,0.1826,57.893
378,07/01/19 04:00:01 AM,0.2783,0.1826,57.117
379,07/01/19 05:00:01 AM,0.2786,0.1826,56.295
380,07/01/19 06:00:01 AM,0.2786,0.1830,55.429
381,07/01/19 07:00:01 AM,0.2786,0.1830,54.648
382,07/01/19 08:00:01 AM,0.2786,0.1836,54.037
383,07/01/19 09:00:01 AM,0.2786,0.1826,54.300
384,07/01/19 10:00:01 AM,0.2783,0.1820,55.558
385,07/01/19 11:00:01 AM,0.2780,0.1807,57.463
386,07/01/19 12:00:01 PM,0.2776,0.1797,59.358
387,07/01/19 01:00:01 PM,0.2770,0.1783,61.633
388,07/01/19 02:00:01 PM,0.2766,0.1783,64.074
389,07/01/19 03:00:01 PM,0.2753,0.1756,66.087
390,07/01/19 04:00:01 PM,0.2749,0.1752,67.372
