"Plot Title: 20139116_SM_UM_C1_trmt"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20139116, SEN S/N: 20145938, LBL: UM_Lshrub)","Water Content, m³/m³ (LGR S/N: 20139116, SEN S/N: 20152219, LBL: UM_Rmeadow)","Temp, °F (LGR S/N: 20139116, SEN S/N: 20391814, LBL: UM_Rmeadow)"
295,05/29/19 03:00:01 PM,0.3125,0.3026,49.338
296,05/29/19 04:00:01 PM,0.3128,0.3029,49.959
297,05/29/19 05:00:01 PM,0.3136,0.3029,50.929
298,05/29/19 06:00:01 PM,0.3136,0.3033,50.929
299,05/29/19 07:00:01 PM,0.3133,0.3033,49.870
300,05/29/19 08:00:01 PM,0.3133,0.3037,48.895
301,05/29/19 09:00:01 PM,0.3133,0.3037,47.959
302,05/29/19 10:00:01 PM,0.3133,0.3037,46.886
303,05/29/19 11:00:01 PM,0.3128,0.3033,45.534
304,05/30/19 12:00:01 AM,0.3128,0.3033,44.218
305,05/30/19 01:00:01 AM,0.3128,0.3033,42.939
306,05/30/19 02:00:01 AM,0.3128,0.3026,41.832
307,05/30/19 03:00:01 AM,0.3128,0.3033,40.811
308,05/30/19 04:00:01 AM,0.3125,0.3029,39.924
309,05/30/19 05:00:01 AM,0.3128,0.3026,39.173
310,05/30/19 06:00:01 AM,0.3136,0.3026,38.511
311,05/30/19 07:00:01 AM,0.3133,0.3026,37.989
312,05/30/19 08:00:01 AM,0.3125,0.3026,37.798
313,05/30/19 09:00:01 AM,0.3121,0.3033,39.502
314,05/30/19 10:00:01 AM,0.3121,0.3040,43.030
315,05/30/19 11:00:01 AM,0.3125,0.3040,46.974
316,05/30/19 12:00:01 PM,0.3121,0.3040,49.692
317,05/30/19 01:00:01 PM,0.3121,0.3040,51.940
318,05/30/19 02:00:01 PM,0.3121,0.3040,53.733
319,05/30/19 03:00:01 PM,0.3121,0.3040,55.125
320,05/30/19 04:00:01 PM,0.3125,0.3037,56.079
321,05/30/19 05:00:01 PM,0.3121,0.3037,56.426
322,05/30/19 06:00:01 PM,0.3118,0.3029,55.733
323,05/30/19 07:00:01 PM,0.3113,0.3029,54.604
324,05/30/19 08:00:01 PM,0.3113,0.3026,53.209
325,05/30/19 09:00:01 PM,0.3110,0.3026,51.678
326,05/30/19 10:00:01 PM,0.3113,0.3022,50.180
327,05/30/19 11:00:01 PM,0.3110,0.3026,48.717
328,05/31/19 12:00:01 AM,0.3110,0.3022,47.244
329,05/31/19 01:00:01 AM,0.3110,0.3022,45.851
330,05/31/19 02:00:01 AM,0.3106,0.3022,44.627
331,05/31/19 03:00:01 AM,0.3106,0.3019,43.443
332,05/31/19 04:00:01 AM,0.3102,0.3019,42.433
333,05/31/19 05:00:01 AM,0.3102,0.3011,41.508
334,05/31/19 06:00:01 AM,0.3102,0.3011,40.626
335,05/31/19 07:00:01 AM,0.3102,0.3011,39.924
336,05/31/19 08:00:01 AM,0.3098,0.3022,39.783
337,05/31/19 09:00:01 AM,0.3102,0.3022,41.832
338,05/31/19 10:00:01 AM,0.3098,0.3026,45.444
339,05/31/19 11:00:01 AM,0.3102,0.3026,49.428
340,05/31/19 12:00:01 PM,0.3098,0.3022,52.160
341,05/31/19 01:00:01 PM,0.3098,0.3022,53.298
342,05/31/19 02:00:01 PM,0.3098,0.3022,54.255
343,05/31/19 03:00:01 PM,0.3098,0.3019,55.429
344,05/31/19 04:00:01 PM,0.3095,0.3015,56.079
345,05/31/19 05:00:01 PM,0.3095,0.3015,55.733
346,05/31/19 06:00:01 PM,0.3095,0.3019,55.256
347,05/31/19 07:00:01 PM,0.3095,0.3015,54.604
348,05/31/19 08:00:01 PM,0.3092,0.3011,53.559
349,05/31/19 09:00:01 PM,0.3087,0.3008,52.029
350,05/31/19 10:00:01 PM,0.3092,0.3008,50.356
351,05/31/19 11:00:01 PM,0.3087,0.3005,48.805
352,06/01/19 12:00:01 AM,0.3087,0.3008,47.377
353,06/01/19 01:00:01 AM,0.3087,0.3008,46.076
354,06/01/19 02:00:01 AM,0.3087,0.3005,44.901
355,06/01/19 03:00:01 AM,0.3087,0.3005,43.900
356,06/01/19 04:00:01 AM,0.3084,0.3005,43.214
